index;lon;lat;alt
Roermond;5.9875;51.1942;0.0
Dongen;4.9459;51.6247;0.0
Oosterhout;4.8617;51.641;0.0
Maastricht;5.691;50.8514;0.0
Venlo;6.167;51.367;0.0
Arnhem;5.8987;51.9851;0.0
East_Groningen;6.7261;53.1722;0.0
Betuwe;5.5;51.9167;0.0
Heerlen;5.9815;50.8837;0.0
Dordrecht;4.6783;51.7958;0.0
Wageningen;5.6654;51.9692;0.0
Rotterdam;4.4777;51.9244;0.0
Zeeland;3.8497;51.4988;0.0
North_Sea;4.817;52.433;0.0
North_Netherlands;6.8262;53.45437;0.0
Chemelot;5.8004;50.9756;0.0
Zuidwending;6.9332;53.0955;0.0
