;Roermond;Dongen;Oosterhout;Maastricht;Venlo;Arnhem;East_Groningen;Betuwe;Heerlen;Dordrecht;Wageningen;Rotterdam;Zeeland;North_Sea;North_Netherlands;Chemelot;Zuidwending
Roermond;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dongen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oosterhout;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maastricht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Venlo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arnhem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
East_Groningen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Betuwe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heerlen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dordrecht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wageningen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rotterdam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zeeland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
North_Sea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
North_Netherlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chemelot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zuidwending;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
