;Roermond;Dongen;Oosterhout;Maastricht;Venlo;Arnhem;East_Groningen;Betuwe;Heerlen;Dordrecht;Wageningen;Rotterdam;Zeeland;North_Sea;North_Netherlands;Chemelot;Zuidwending
Roermond;0;87;93;43;23;88;226;87;35;113;89;132;152;160;258;28;221
Dongen;87;0;6;100;89;77;210;50;109;26;63;46;77;90;240;93;212
Oosterhout;93;6;0;105;95;81;212;54;115;21;66;41;72;88;241;99;214
Maastricht;43;100;105;0;66;127;268;119;21;126;124;146;147;186;300;16;264
Venlo;23;89;95;66;0;71;204;77;55;113;75;132;161;150;236;50;199
Arnhem;88;77;81;127;71;0;143;28;123;86;16;98;151;89;175;112;142
East_Groningen;226;210;212;268;204;143;0;162;260;207;152;206;270;152;32;252;16
Betuwe;87;50;54;119;77;28;162;0;120;58;13;70;123;74;193;107;163
Heerlen;35;109;115;21;55;123;260;120;0;136;123;156;164;190;292;16;254
Dordrecht;113;26;21;126;113;86;207;58;136;0;70;20;66;71;235;120;210
Wageningen;89;63;66;124;75;16;152;13;123;70;0;82;136;77;183;111;152
Rotterdam;132;46;41;146;132;98;206;70;156;20;82;0;64;61;232;140;211
Zeeland;152;77;72;147;161;151;270;123;164;66;136;64;0;123;296;148;275
North_Sea;160;90;88;186;150;89;152;74;190;71;77;61;123;0;176;176;160
North_Netherlands;258;240;241;300;236;175;32;193;292;235;183;232;296;176;0;284;41
Chemelot;28;93;99;16;50;112;252;107;16;120;111;140;148;176;284;0;248
Zuidwending;221;212;214;264;199;142;16;163;254;210;152;211;275;160;41;248;0
