;Roermond;Dongen;Oosterhout;Maastricht;Venlo;Arnhem;East_Groningen;Betuwe;Heerlen;Dordrecht;Wageningen;Rotterdam;Zeeland;North_Sea;North_Netherlands;Chemelot;Zuidwending
Roermond;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0
Dongen;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
Oosterhout;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
Maastricht;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0
Venlo;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;1;0
Arnhem;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;1
East_Groningen;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;0;1
Betuwe;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1
Heerlen;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;0
Dordrecht;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0
Wageningen;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1
Rotterdam;0;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0
Zeeland;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
North_Sea;0;1;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0
North_Netherlands;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0
Chemelot;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
Zuidwending;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0
