;Roermond;Dongen;Oosterhout;Maastricht;Venlo;Arnhem;East_Groningen;Betuwe;Heerlen;Dordrecht;Wageningen;Rotterdam;Zeeland;North_Sea;North_Netherlands;Chemelot;Zuidwending
Roermond;0;2;2;2;2;2;2;2;2;2;2;0;0;0;0;2;0
Dongen;2;0;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0
Oosterhout;2;2;0;2;2;2;2;2;2;2;2;2;2;2;0;0;0
Maastricht;2;2;2;0;2;2;2;2;2;2;2;0;0;0;0;0;0
Venlo;2;2;2;2;0;2;2;2;2;2;2;0;0;0;0;2;0
Arnhem;2;2;2;2;2;0;2;2;2;2;2;0;0;2;2;0;2
East_Groningen;2;2;2;2;2;2;0;2;2;2;2;0;0;0;2;0;2
Betuwe;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;0;2
Heerlen;2;2;2;2;2;2;2;2;0;2;2;0;0;0;0;2;0
Dordrecht;2;2;2;2;2;2;2;2;2;0;2;2;2;2;0;0;0
Wageningen;2;2;2;2;2;2;2;2;2;2;0;2;0;2;2;0;2
Rotterdam;0;2;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0
Zeeland;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0
North_Sea;0;2;2;0;0;2;0;2;0;2;2;0;0;0;0;0;0
North_Netherlands;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0
Chemelot;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
Zuidwending;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0
