Network name
CO2Railway; fluid 
CO2Ship; fluid 
CO2Truck; fluid 
CO2_Pipeline; fluid 
electricityOffshore; electricity 
electricityOnshore; electricity 
electricitySimple; electricity 
heat; fluid 
hydrogenPipelineOffshore; fluid 
hydrogenPipelineOnshore; fluid 
hydrogenPipelineOnshore_highP; fluid 
hydrogenPipelineOnshore_highP_big; fluid 
hydrogenPipelineOnshore_highP_small; fluid 
hydrogenPipelineOnshore_lowP; fluid 
hydrogenPipelineOnshore_lowP_big; fluid 
hydrogenPipelineOnshore_mediumP; fluid 
hydrogenRailway; fluid 
hydrogenShip; fluid 
hydrogenSimple; fluid 
hydrogenTruck; fluid 
hydrogenTruck_highP; fluid 
hydrogenTruck_lowP; fluid 
