Technology name; Technology model (Tec_type)
CO2_Compressor; CONV1
DAC_Adsorption; DAC_Adsorption
Boiler_El; CONV2
Boiler_Industrial_NG; CONV2
Boiler_Small_H2; CONV2
Boiler_Small_NG; CONV2
Furnace_H2; CONV2
Furnace_NG; CONV2
HeatPump_AirSourced; HeatPump_AirSourced
HeatPump_GroundSourced; HeatPump_GroundSourced
HeatPump_SeaWaterSourced; HeatPump_WaterSourced
HeatPump_WaterSourced; HeatPump_WaterSourced
Electrolyzer; CONV1
Electrolyzer_big; CONV1
Electrolyzer_small; CONV1
FuelCell; CONV2
Storage_H2_highP; STOR
Storage_H2_lowP; STOR
Hydro_Reservoir; Hydro_Open
PumpedHydro_Closed; STOR
PumpedHydro_Open; HydroOpen
AirSeparationUnit; CONV2
Biomass2methanol; CONV3
CO2electrolysis; CONV3
CrackerFurnace; CONV3
CrackerFurnace_Electric; CONV3
DirectMeOHsynthesis; CONV3
ElectricSMR_H2; CONV3
ElectricSMR_syngas; CONV3
EthanolDehydration; CONV3
EthyleneCompression; CONV3
EthyleneCompression_Electric; CONV3
EthyleneSeparation; CONV3
HaberBosch; CONV3
MeOHsynthesis; CONV3
MethanolToAromatics; CONV3
MethanolToOlefins; CONV3
NaphthaCrackingPlant; CONV3
NaphthaCrackingPlant_Electric; CONV3
OlefinSeparation; CONV3
Plastic2methanol; CONV3
PropaneDehydrogenation; CONV3
ReverseWGS; CONV3
SteamReformer; CONV3
WGS_syngas; CONV3
CombinedCycle_fixed_size; CCPP
GasTurbine_H2_10; GasTurbine_H2_10
GasTurbine_H2_100; GasTurbine_H2_100
GasTurbine_H2_250; GasTurbine_H2_250
GasTurbine_H2_400; GasTurbine_H2_400
GasTurbine_NG_10; GasTurbine_NG_10
GasTurbine_NG_100; GasTurbine_NG_100
GasTurbine_NG_250; GasTurbine_NG_250
GasTurbine_NG_400; GasTurbine_NG_400
GasTurbine_simple; CONV1
GasTurbine_simple_CCS; CONV1
SteamTurbine; CONV2
Photovoltaic; RES
SolarThermal; RES
WindTurbine_Offshore_11000; RES
WindTurbine_Offshore_6000; RES
WindTurbine_Offshore_9500; RES
WindTurbine_Onshore_1500; RES
WindTurbine_Onshore_2500; RES
WindTurbine_Onshore_4000; RES
PermanentStorage_CO2_simple; SINK
Storage_Ammonia; STOR
Storage_Battery; STOR
Storage_CO2; STOR
Storage_Ethylene; STOR
Storage_H2; STOR
Storage_H2_Cavern; STOR
Storage_HotWater; STOR
Storage_NG; STOR
Storage_PCM; STOR
Storage_Propylene; STOR
TemporaryStorage_CO2; STOR
