ghi;dni;dhi;temp_air;rh;ws10
0.0;0.0;0.0;6.69;90.68;5.13
0.0;0.0;0.0;6.14;90.15;4.99
0.0;0.0;0.0;5.59;89.63;4.85
0.0;0.0;0.0;5.04;89.1;4.71
0.0;0.0;0.0;4.49;88.58;4.57
0.0;0.0;0.0;3.94;88.05;4.43
0.0;0.0;0.0;3.39;87.53;4.29
21.0;54.89;18.0;2.84;87.0;4.15
65.0;32.18;60.0;3.69;82.25;5.17
45.0;0.0;45.0;4.28;82.3;5.52
57.0;0.0;57.0;4.86;85.6;5.59
58.0;0.0;58.0;5.82;82.55;5.72
22.0;0.0;22.0;6.85;85.75;5.93
38.0;7.74;37.0;7.4;85.8;6.0
0.0;0.0;0.0;7.67;89.0;5.86
0.0;0.0;0.0;7.79;89.0;5.93
0.0;0.0;0.0;7.78;89.0;5.86
0.0;0.0;0.0;7.25;92.35;5.38
0.0;0.0;0.0;6.77;92.3;5.1
0.0;0.0;0.0;6.65;88.95;4.69
0.0;0.0;0.0;6.12;85.7;4.28
0.0;0.0;0.0;5.55;85.65;4.28
0.0;0.0;0.0;5.03;88.85;4.34
0.0;0.0;0.0;4.65;88.85;4.55
0.0;0.0;0.0;4.5;88.85;4.9
0.0;0.0;0.0;4.41;85.55;5.17
0.0;0.0;0.0;4.44;82.35;5.17
0.0;0.0;0.0;4.24;82.3;5.24
0.0;0.0;0.0;4.25;82.3;5.31
0.0;0.0;0.0;4.13;79.2;5.45
0.0;0.0;0.0;4.06;76.25;5.66
3.0;0.0;3.0;4.24;79.2;6.0
67.0;38.43;61.0;4.39;76.3;6.07
209.0;669.28;58.0;4.53;76.3;5.86
138.0;73.41;119.0;4.85;73.55;4.62
214.0;477.31;93.0;4.99;73.55;5.03
180.0;547.59;65.0;5.03;73.55;4.21
13.0;0.0;13.0;4.88;70.8;4.55
0.0;0.0;0.0;4.44;73.45;5.17
0.0;0.0;0.0;4.4;73.45;5.03
0.0;0.0;0.0;4.03;73.4;4.55
0.0;0.0;0.0;3.31;73.3;4.21
0.0;0.0;0.0;2.77;76.0;4.21
0.0;0.0;0.0;2.77;73.1;4.62
0.0;0.0;0.0;2.75;73.1;4.69
0.0;0.0;0.0;2.54;76.0;4.48
0.0;0.0;0.0;2.37;79.0;4.21
0.0;0.0;0.0;2.51;82.15;4.0
0.0;0.0;0.0;2.57;85.35;3.72
0.0;0.0;0.0;2.52;85.35;3.79
0.0;0.0;0.0;2.32;85.35;3.93
0.0;0.0;0.0;2.24;88.65;3.93
0.0;0.0;0.0;2.41;85.35;3.86
0.0;0.0;0.0;2.43;85.35;3.79
0.0;0.0;0.0;2.58;85.35;3.72
13.0;0.0;13.0;2.74;88.65;3.66
83.0;101.91;67.0;3.07;85.4;3.72
81.0;8.82;79.0;3.35;85.45;3.45
55.0;0.0;55.0;3.68;85.45;4.9
99.0;11.75;96.0;4.02;82.3;4.83
75.0;9.43;73.0;4.4;82.35;3.45
41.0;7.49;40.0;4.33;82.35;3.79
0.0;0.0;0.0;3.86;82.3;3.1
0.0;0.0;0.0;3.35;85.45;2.97
0.0;0.0;0.0;2.7;92.15;2.97
0.0;0.0;0.0;2.34;92.15;2.97
0.0;0.0;0.0;2.0;95.65;2.97
0.0;0.0;0.0;2.75;92.15;3.24
0.0;0.0;0.0;2.82;88.7;3.24
0.0;0.0;0.0;2.84;88.7;3.31
0.0;0.0;0.0;2.88;88.7;3.17
0.0;0.0;0.0;2.75;92.15;3.1
0.0;0.0;0.0;2.8;88.7;3.1
0.0;0.0;0.0;2.79;88.7;2.83
0.0;0.0;0.0;2.83;88.7;2.76
0.0;0.0;0.0;2.72;92.15;2.76
0.0;0.0;0.0;2.7;95.7;2.9
0.0;0.0;0.0;2.76;95.7;3.24
0.0;0.0;0.0;2.72;92.15;3.45
27.0;159.53;18.0;2.67;92.15;3.52
87.0;120.26;68.0;2.76;92.15;3.79
150.0;206.07;103.0;2.98;88.7;3.59
73.0;0.0;73.0;3.37;85.45;4.28
61.0;0.0;61.0;3.44;85.45;4.28
118.0;102.75;96.0;3.53;85.45;4.9
63.0;66.28;54.0;3.64;85.45;4.55
5.0;0.0;5.0;3.58;85.45;4.28
0.0;0.0;0.0;3.58;88.75;4.21
0.0;0.0;0.0;3.64;88.75;4.21
0.0;0.0;0.0;3.61;88.75;4.28
0.0;0.0;0.0;3.54;92.15;4.34
0.0;0.0;0.0;3.87;88.8;4.48
0.0;0.0;0.0;3.75;92.15;4.48
0.0;0.0;0.0;3.65;92.15;4.48
0.0;0.0;0.0;3.51;92.15;4.48
0.0;0.0;0.0;3.45;92.15;4.41
0.0;0.0;0.0;3.51;95.7;4.34
0.0;0.0;0.0;3.75;95.7;4.21
0.0;0.0;0.0;4.1;92.2;4.21
0.0;0.0;0.0;4.39;92.25;4.28
0.0;0.0;0.0;4.63;92.25;4.34
0.0;0.0;0.0;4.8;92.25;4.55
0.0;0.0;0.0;4.85;88.85;4.83
17.0;17.47;16.0;5.02;88.85;5.03
29.0;0.0;29.0;5.19;88.85;5.1
124.0;91.51;103.0;5.49;85.65;5.17
84.0;3.79;83.0;5.8;88.9;5.45
59.0;0.0;59.0;5.72;88.9;5.31
62.0;0.0;62.0;5.5;88.9;5.17
19.0;0.0;19.0;5.45;88.9;5.17
1.0;0.0;1.0;5.78;88.9;5.03
0.0;0.0;0.0;5.78;88.9;5.1
0.0;0.0;0.0;5.52;85.65;4.55
0.0;0.0;0.0;5.21;88.85;4.41
0.0;0.0;0.0;4.92;88.85;4.41
0.0;0.0;0.0;5.04;88.85;4.62
0.0;0.0;0.0;4.95;88.85;4.55
0.0;0.0;0.0;4.82;88.85;4.48
0.0;0.0;0.0;4.73;92.25;4.34
0.0;0.0;0.0;4.71;92.25;4.28
0.0;0.0;0.0;4.69;92.25;4.21
0.0;0.0;0.0;4.65;92.25;4.21
0.0;0.0;0.0;4.61;88.85;4.14
0.0;0.0;0.0;4.55;88.85;3.93
0.0;0.0;0.0;4.5;88.85;3.59
0.0;0.0;0.0;4.46;92.25;3.31
0.0;0.0;0.0;4.38;92.25;3.03
19.0;34.36;17.0;4.39;92.25;2.9
43.0;0.0;43.0;4.93;88.85;3.24
49.0;0.0;49.0;5.31;88.9;3.59
49.0;0.0;49.0;5.71;92.3;3.79
42.0;0.0;42.0;6.14;92.3;4.21
67.0;0.0;67.0;6.27;95.8;3.66
16.0;0.0;16.0;6.35;95.8;3.72
2.0;0.0;2.0;6.43;95.8;3.72
0.0;0.0;0.0;6.48;99.4;3.79
0.0;0.0;0.0;6.61;95.8;3.93
0.0;0.0;0.0;6.44;92.3;3.79
0.0;0.0;0.0;6.23;92.3;3.31
0.0;0.0;0.0;5.67;95.75;2.9
0.0;0.0;0.0;5.77;95.75;2.48
0.0;0.0;0.0;5.82;92.3;2.14
0.0;0.0;0.0;5.95;95.8;2.0
0.0;0.0;0.0;6.01;95.8;2.0
0.0;0.0;0.0;6.16;95.8;2.21
0.0;0.0;0.0;6.34;95.8;2.69
0.0;0.0;0.0;6.61;99.4;3.38
0.0;0.0;0.0;6.74;95.8;3.93
0.0;0.0;0.0;6.64;95.8;3.93
0.0;0.0;0.0;6.38;92.3;3.38
0.0;0.0;0.0;6.07;92.3;2.69
11.0;0.0;11.0;5.87;92.3;2.62
99.0;191.69;68.0;5.87;92.3;2.97
42.0;0.0;42.0;6.02;92.3;3.24
98.0;7.48;96.0;6.22;92.3;3.31
120.0;34.16;111.0;6.5;95.8;3.24
99.0;40.7;90.0;6.96;95.8;3.03
17.0;0.0;17.0;7.25;99.4;2.76
6.0;0.0;6.0;7.3;99.4;2.48
0.0;0.0;0.0;6.92;95.8;3.17
0.0;0.0;0.0;6.16;95.8;3.93
0.0;0.0;0.0;5.38;92.3;3.93
0.0;0.0;0.0;4.89;92.25;4.0
0.0;0.0;0.0;4.54;92.25;3.93
0.0;0.0;0.0;4.14;95.75;3.52
0.0;0.0;0.0;3.86;92.2;3.17
0.0;0.0;0.0;3.7;95.7;2.83
0.0;0.0;0.0;3.48;92.15;2.55
0.0;0.0;0.0;3.46;92.15;2.41
0.0;0.0;0.0;3.55;95.7;2.41
0.0;0.0;0.0;3.61;95.7;2.41
0.0;0.0;0.0;3.44;95.7;2.48
0.0;0.0;0.0;3.41;92.15;2.76
0.0;0.0;0.0;3.1;95.7;2.97
0.0;0.0;0.0;2.9;92.15;3.17
23.0;49.6;20.0;2.69;95.7;2.83
92.0;134.8;70.0;2.91;92.15;2.97
136.0;119.4;108.0;3.18;85.4;3.79
162.0;129.87;127.0;3.42;82.25;3.72
208.0;368.68;110.0;3.83;82.3;3.59
206.0;683.94;53.0;4.28;82.3;3.52
102.0;321.84;55.0;4.54;82.35;3.1
10.0;0.0;10.0;4.58;82.35;3.45
0.0;0.0;0.0;4.3;85.5;3.59
0.0;0.0;0.0;4.0;85.5;3.66
0.0;0.0;0.0;3.98;85.5;3.79
0.0;0.0;0.0;3.99;88.8;3.93
0.0;0.0;0.0;3.81;88.8;3.72
0.0;0.0;0.0;3.61;92.15;3.66
0.0;0.0;0.0;3.59;92.15;3.72
0.0;0.0;0.0;3.67;92.15;3.79
0.0;0.0;0.0;3.6;92.15;3.72
0.0;0.0;0.0;3.89;88.8;3.72
0.0;0.0;0.0;4.56;85.55;3.59
0.0;0.0;0.0;4.49;85.55;3.52
0.0;0.0;0.0;4.89;85.6;3.52
0.0;0.0;0.0;5.43;82.5;3.52
0.0;0.0;0.0;5.75;82.5;3.45
0.0;0.0;0.0;5.82;82.55;3.45
23.0;48.54;20.0;5.79;85.65;3.31
47.0;0.0;47.0;6.19;82.55;3.38
102.0;29.61;95.0;6.95;82.6;3.45
102.0;11.04;99.0;7.51;82.65;3.1
174.0;190.1;123.0;8.37;76.85;3.86
201.0;631.67;58.0;8.76;79.75;3.79
121.0;550.83;39.0;8.66;79.75;3.86
2.0;0.0;2.0;8.09;79.7;3.93
0.0;0.0;0.0;7.66;82.65;3.93
0.0;0.0;0.0;7.94;79.7;3.93
0.0;0.0;0.0;7.92;79.7;4.07
0.0;0.0;0.0;7.86;79.7;4.28
0.0;0.0;0.0;8.21;82.7;4.41
0.0;0.0;0.0;8.5;79.75;4.48
0.0;0.0;0.0;8.73;82.75;4.34
0.0;0.0;0.0;8.95;82.85;4.21
0.0;0.0;0.0;9.15;85.95;4.21
0.0;0.0;0.0;9.29;89.1;4.28
0.0;0.0;0.0;9.63;85.95;4.34
0.0;0.0;0.0;9.78;89.15;4.41
0.0;0.0;0.0;9.94;86.0;4.41
0.0;0.0;0.0;10.07;86.0;4.28
0.0;0.0;0.0;10.14;89.2;4.0
0.0;0.0;0.0;9.96;89.2;3.79
15.0;0.0;15.0;10.1;89.2;4.07
75.0;48.03;67.0;10.27;86.0;4.28
114.0;50.32;102.0;10.55;83.0;4.48
47.0;0.0;47.0;10.8;80.05;4.41
49.0;0.0;49.0;11.28;80.1;3.93
29.0;0.0;29.0;11.47;74.55;4.21
24.0;0.0;24.0;11.29;77.2;4.14
5.0;0.0;5.0;10.77;80.05;3.86
0.0;0.0;0.0;9.84;85.95;3.86
0.0;0.0;0.0;9.46;85.95;4.0
0.0;0.0;0.0;8.97;89.1;4.28
0.0;0.0;0.0;8.63;89.1;4.48
0.0;0.0;0.0;8.66;85.9;4.41
0.0;0.0;0.0;8.17;85.85;4.55
0.0;0.0;0.0;7.57;85.8;4.62
0.0;0.0;0.0;7.2;89.0;4.62
0.0;0.0;0.0;7.2;85.75;4.83
0.0;0.0;0.0;7.34;82.65;5.17
0.0;0.0;0.0;7.39;79.65;5.45
0.0;0.0;0.0;7.7;79.65;5.72
0.0;0.0;0.0;8.28;73.95;6.28
0.0;0.0;0.0;8.79;74.05;6.83
0.0;0.0;0.0;9.03;79.85;7.66
0.0;0.0;0.0;7.87;79.7;9.03
32.0;154.29;22.0;6.92;76.65;7.17
133.0;469.07;54.0;6.35;73.7;6.62
219.0;656.66;61.0;6.64;73.7;6.34
89.0;3.62;88.0;6.81;70.95;6.21
128.0;40.21;117.0;6.85;65.85;7.1
0.0;0.0;0.0;6.77;65.75;6.69
79.0;90.42;65.0;6.54;63.25;6.28
16.0;63.7;13.0;6.31;60.85;6.0
0.0;0.0;0.0;6.02;58.55;5.59
0.0;0.0;0.0;5.73;60.75;5.38
0.0;0.0;0.0;5.62;58.45;5.1
0.0;0.0;0.0;5.53;60.75;5.31
0.0;0.0;0.0;5.86;60.85;5.79
0.0;0.0;0.0;5.98;60.85;6.21
0.0;0.0;0.0;5.51;68.2;6.69
0.0;0.0;0.0;4.85;85.6;6.69
0.0;0.0;0.0;5.44;85.65;6.9
0.0;0.0;0.0;5.8;85.65;6.76
0.0;0.0;0.0;5.92;85.7;6.34
0.0;0.0;0.0;5.95;85.7;6.14
0.0;0.0;0.0;5.92;82.55;5.66
0.0;0.0;0.0;5.72;85.65;5.72
0.0;0.0;0.0;5.64;85.65;5.93
0.0;0.0;0.0;5.58;85.65;6.28
13.0;0.0;13.0;5.71;85.65;6.41
120.0;311.04;67.0;5.85;82.55;6.97
181.0;325.25;102.0;6.2;82.55;7.79
211.0;322.54;121.0;6.24;82.55;7.93
75.0;0.0;75.0;6.49;82.55;7.66
51.0;0.0;51.0;6.23;79.5;8.34
47.0;6.33;46.0;5.56;82.5;8.0
4.0;0.0;4.0;5.61;85.65;7.38
0.0;0.0;0.0;5.64;85.65;7.31
0.0;0.0;0.0;5.41;82.5;7.03
0.0;0.0;0.0;5.34;76.5;6.76
0.0;0.0;0.0;5.37;70.85;6.69
0.0;0.0;0.0;5.57;68.2;6.55
0.0;0.0;0.0;5.48;65.65;6.28
0.0;0.0;0.0;5.14;65.55;5.86
0.0;0.0;0.0;4.71;70.7;5.38
0.0;0.0;0.0;4.89;70.8;5.45
0.0;0.0;0.0;5.08;73.55;5.45
0.0;0.0;0.0;4.91;73.55;5.66
0.0;0.0;0.0;4.99;73.55;6.69
0.0;0.0;0.0;4.95;76.4;7.66
0.0;0.0;0.0;5.35;82.5;8.07
0.0;0.0;0.0;6.26;85.7;8.21
0.0;0.0;0.0;7.19;89.0;8.55
15.0;0.0;15.0;8.03;85.85;8.55
45.0;0.0;45.0;8.76;89.1;8.97
49.0;0.0;49.0;9.1;85.95;8.76
262.0;681.55;70.0;9.06;82.85;8.69
155.0;93.09;129.0;9.46;79.9;8.83
21.0;0.0;21.0;9.48;77.0;8.9
12.0;0.0;12.0;9.35;74.2;8.62
3.0;0.0;3.0;9.25;74.15;8.41
0.0;0.0;0.0;9.11;71.4;8.21
0.0;0.0;0.0;9.0;68.8;8.0
0.0;0.0;0.0;8.78;71.35;7.52
0.0;0.0;0.0;8.47;71.35;6.97
0.0;0.0;0.0;8.48;71.35;6.41
0.0;0.0;0.0;8.32;73.95;5.93
0.0;0.0;0.0;8.0;73.95;5.52
0.0;0.0;0.0;7.58;76.7;5.17
0.0;0.0;0.0;7.08;79.55;4.76
0.0;0.0;0.0;6.77;82.55;4.28
0.0;0.0;0.0;6.56;82.55;3.86
0.0;0.0;0.0;6.2;82.55;3.45
0.0;0.0;0.0;5.99;82.55;3.17
0.0;0.0;0.0;5.92;79.5;2.97
0.0;0.0;0.0;5.3;85.6;2.97
0.0;0.0;0.0;5.67;85.65;3.52
4.0;0.0;4.0;6.44;88.95;4.0
51.0;0.0;51.0;7.58;89.0;4.69
91.0;8.07;89.0;8.59;82.75;6.0
82.0;0.0;82.0;9.06;79.85;6.69
39.0;0.0;39.0;9.27;79.85;6.41
40.0;0.0;40.0;9.48;77.0;7.17
88.0;115.5;69.0;9.1;79.85;7.79
21.0;70.28;17.0;8.33;73.95;7.86
0.0;0.0;0.0;7.2;68.4;6.97
0.0;0.0;0.0;6.39;63.25;7.1
0.0;0.0;0.0;5.92;58.55;7.52
0.0;0.0;0.0;5.75;60.75;7.72
0.0;0.0;0.0;5.78;54.05;7.79
0.0;0.0;0.0;5.51;54.05;7.72
0.0;0.0;0.0;5.25;56.05;7.86
0.0;0.0;0.0;5.25;58.3;8.28
0.0;0.0;0.0;5.5;56.2;8.41
0.0;0.0;0.0;5.87;54.15;8.62
0.0;0.0;0.0;5.75;58.45;8.48
0.0;0.0;0.0;5.25;65.55;8.14
0.0;0.0;0.0;4.96;65.55;8.0
0.0;0.0;0.0;4.85;65.55;7.79
0.0;0.0;0.0;4.62;70.7;7.45
0.0;0.0;0.0;4.44;70.7;7.24
37.0;152.2;26.0;4.52;73.45;7.17
97.0;112.96;77.0;4.75;76.3;6.83
146.0;115.8;117.0;5.25;76.4;5.17
178.0;139.18;138.0;5.64;73.65;6.07
187.0;182.17;135.0;5.67;73.65;5.86
108.0;28.61;101.0;5.96;70.95;5.86
84.0;77.42;71.0;5.87;70.95;5.79
29.0;165.67;19.0;5.4;70.85;5.17
0.0;0.0;0.0;4.89;73.55;4.76
0.0;0.0;0.0;4.17;76.25;4.69
0.0;0.0;0.0;3.75;73.3;5.03
0.0;0.0;0.0;3.59;67.8;5.31
0.0;0.0;0.0;3.12;67.7;5.17
0.0;0.0;0.0;2.95;65.1;5.17
0.0;0.0;0.0;2.67;65.0;5.03
0.0;0.0;0.0;2.31;65.0;4.69
0.0;0.0;0.0;2.0;70.2;4.28
