ghi;dni;dhi;temp_air;rh;ws10
0.0;0.0;0.0;-5.33;92.41;1.36
0.0;0.0;0.0;-5.72;92.74;1.35
0.0;0.0;0.0;-6.11;93.08;1.33
0.0;0.0;0.0;-6.5;93.41;1.32
0.0;0.0;0.0;-6.89;93.74;1.31
0.0;0.0;0.0;-7.28;94.07;1.3
0.0;0.0;0.0;-7.67;94.4;1.29
0.0;0.0;0.0;-8.06;94.73;1.28
78.0;520.97;25.0;-5.54;95.45;1.24
158.0;336.73;86.0;-3.83;95.5;1.03
186.0;171.41;136.0;-2.3;91.85;0.76
218.0;181.79;158.0;-0.55;85.05;0.69
172.0;67.43;150.0;-0.04;88.45;0.9
166.0;124.71;131.0;0.25;85.15;0.97
114.0;142.69;86.0;0.46;85.15;1.17
45.0;253.79;25.0;-0.57;91.95;1.17
0.0;0.0;0.0;-1.55;95.6;1.1
0.0;0.0;0.0;-1.17;91.95;0.83
0.0;0.0;0.0;-1.03;95.6;0.55
0.0;0.0;0.0;-1.9;99.4;0.62
0.0;0.0;0.0;-2.08;99.4;0.41
0.0;0.0;0.0;-2.35;99.4;0.55
0.0;0.0;0.0;-2.45;99.4;0.62
0.0;0.0;0.0;-2.53;99.4;0.55
0.0;0.0;0.0;-2.47;99.4;0.48
0.0;0.0;0.0;-2.63;95.55;0.62
0.0;0.0;0.0;-2.73;95.55;0.62
0.0;0.0;0.0;-2.83;99.4;0.69
0.0;0.0;0.0;-3.03;95.55;0.76
0.0;0.0;0.0;-2.96;99.4;0.62
0.0;0.0;0.0;-2.87;99.4;0.41
0.0;0.0;0.0;-2.56;95.55;0.48
29.0;0.0;29.0;-3.24;95.55;0.9
56.0;0.0;56.0;-3.31;99.4;1.24
68.0;0.0;68.0;-1.99;95.55;1.72
91.0;0.0;91.0;-1.21;88.4;2.48
84.0;0.0;84.0;-1.1;85.0;2.55
72.0;0.0;72.0;-1.16;81.7;2.48
66.0;5.04;65.0;-1.35;84.95;2.41
29.0;37.02;26.0;-1.7;84.95;2.21
0.0;0.0;0.0;-2.38;91.85;1.93
0.0;0.0;0.0;-3.43;95.5;1.72
0.0;0.0;0.0;-4.32;91.75;1.59
0.0;0.0;0.0;-4.43;91.75;1.86
0.0;0.0;0.0;-5.34;91.7;1.59
0.0;0.0;0.0;-5.72;91.7;1.31
0.0;0.0;0.0;-5.1;91.75;1.1
0.0;0.0;0.0;-4.67;91.75;0.9
0.0;0.0;0.0;-5.09;91.75;0.76
0.0;0.0;0.0;-5.86;91.7;0.83
0.0;0.0;0.0;-6.33;91.65;0.9
0.0;0.0;0.0;-7.79;91.6;0.9
0.0;0.0;0.0;-7.48;91.6;0.76
0.0;0.0;0.0;-7.62;91.6;0.76
0.0;0.0;0.0;-7.95;91.55;0.83
0.0;0.0;0.0;-7.18;91.6;0.9
83.0;575.66;24.0;-7.57;91.6;0.9
207.0;776.08;40.0;-7.07;91.6;0.62
298.0;844.35;50.0;-6.02;91.7;0.69
338.0;832.49;61.0;-5.62;88.05;1.17
329.0;797.96;66.0;-3.97;84.65;1.59
280.0;787.38;56.0;-2.9;75.1;2.07
188.0;743.13;39.0;-2.92;78.2;1.86
61.0;503.85;19.0;-3.85;84.65;1.38
0.0;0.0;0.0;-5.35;84.55;1.24
0.0;0.0;0.0;-4.53;81.3;0.97
0.0;0.0;0.0;-5.12;84.6;0.69
0.0;0.0;0.0;-5.23;84.6;1.1
0.0;0.0;0.0;-5.9;88.0;1.24
0.0;0.0;0.0;-5.94;88.0;0.97
0.0;0.0;0.0;-6.31;84.5;0.69
0.0;0.0;0.0;-6.71;84.45;0.83
0.0;0.0;0.0;-7.14;84.4;0.97
0.0;0.0;0.0;-7.3;84.4;0.97
0.0;0.0;0.0;-7.37;87.9;0.97
0.0;0.0;0.0;-7.48;84.35;1.03
0.0;0.0;0.0;-7.61;84.35;1.03
0.0;0.0;0.0;-7.64;84.35;1.03
0.0;0.0;0.0;-7.62;84.35;0.97
0.0;0.0;0.0;-7.07;84.4;1.03
79.0;504.62;27.0;-7.22;84.4;0.97
130.0;148.12;98.0;-5.98;81.1;0.55
214.0;267.88;135.0;-4.29;81.3;0.48
257.0;320.11;150.0;-3.08;75.1;0.41
210.0;147.85;161.0;-2.22;72.3;0.34
197.0;223.32;133.0;-2.6;81.5;0.76
103.0;73.96;88.0;-1.91;78.35;1.1
23.0;0.0;23.0;-1.85;78.35;0.69
0.0;0.0;0.0;-2.32;81.5;0.41
0.0;0.0;0.0;-3.11;81.45;0.62
0.0;0.0;0.0;-4.65;84.65;1.17
0.0;0.0;0.0;-4.9;84.6;0.9
0.0;0.0;0.0;-5.19;84.6;0.9
0.0;0.0;0.0;-5.39;88.05;0.83
0.0;0.0;0.0;-5.53;84.55;0.83
0.0;0.0;0.0;-5.66;84.55;0.9
0.0;0.0;0.0;-5.86;88.0;1.03
0.0;0.0;0.0;-5.87;88.0;1.03
0.0;0.0;0.0;-5.92;84.5;1.1
0.0;0.0;0.0;-6.35;88.0;1.24
0.0;0.0;0.0;-7.04;87.95;1.38
0.0;0.0;0.0;-7.89;87.85;1.38
0.0;0.0;0.0;-7.92;87.85;1.31
0.0;0.0;0.0;-7.38;95.4;1.38
81.0;549.53;24.0;-7.39;95.4;1.38
205.0;751.04;42.0;-5.6;91.7;1.31
292.0;803.44;54.0;-3.3;91.8;1.24
327.0;753.19;74.0;-0.82;81.7;1.17
327.0;779.92;67.0;0.19;81.8;1.1
287.0;820.67;50.0;1.51;75.85;1.31
189.0;726.11;40.0;1.76;75.95;1.38
61.0;441.63;22.0;0.69;81.9;1.59
0.0;0.0;0.0;-0.02;81.8;1.79
0.0;0.0;0.0;-0.79;85.0;2.0
0.0;0.0;0.0;-0.88;85.0;2.07
0.0;0.0;0.0;-2.23;84.85;2.21
0.0;0.0;0.0;-2.37;84.85;2.41
0.0;0.0;0.0;-2.51;81.5;2.41
0.0;0.0;0.0;-3.03;81.45;2.34
0.0;0.0;0.0;-2.78;84.8;2.21
0.0;0.0;0.0;-1.58;78.45;2.21
0.0;0.0;0.0;-0.13;78.65;2.34
0.0;0.0;0.0;1.27;75.85;2.48
0.0;0.0;0.0;2.13;75.95;2.69
0.0;0.0;0.0;3.1;70.4;3.31
0.0;0.0;0.0;4.14;67.9;4.0
0.0;0.0;0.0;4.55;70.7;4.28
0.0;0.0;0.0;4.72;73.45;4.62
21.0;0.0;21.0;4.88;76.4;4.76
129.0;151.28;96.0;5.14;79.35;4.76
153.0;70.55;132.0;5.78;79.4;4.83
155.0;35.54;143.0;5.99;76.55;4.76
152.0;32.79;141.0;6.27;79.5;4.48
73.0;0.0;73.0;6.55;79.5;4.41
52.0;0.0;52.0;6.6;82.55;4.62
31.0;32.99;28.0;6.59;82.55;4.76
0.0;0.0;0.0;6.45;82.55;4.76
0.0;0.0;0.0;6.49;79.5;4.83
0.0;0.0;0.0;6.66;79.5;4.69
0.0;0.0;0.0;7.18;82.6;4.34
0.0;0.0;0.0;6.95;82.6;4.14
0.0;0.0;0.0;6.84;82.6;4.07
0.0;0.0;0.0;6.94;85.75;4.0
0.0;0.0;0.0;7.03;85.75;3.66
0.0;0.0;0.0;6.9;85.75;3.52
0.0;0.0;0.0;6.93;85.75;3.52
0.0;0.0;0.0;6.77;88.95;3.17
0.0;0.0;0.0;5.83;85.7;2.55
0.0;0.0;0.0;4.6;92.25;2.28
0.0;0.0;0.0;4.04;92.2;2.14
0.0;0.0;0.0;3.74;92.15;2.07
0.0;0.0;0.0;3.38;92.15;1.66
49.0;85.36;40.0;3.3;92.15;1.59
120.0;113.96;95.0;3.3;92.15;1.59
254.0;541.4;92.0;4.37;92.25;1.52
215.0;167.87;158.0;6.12;88.95;1.38
135.0;14.81;130.0;6.97;89.0;1.24
77.0;0.0;77.0;6.25;88.95;1.45
43.0;0.0;43.0;5.19;92.25;1.72
32.0;32.04;29.0;4.67;92.25;2.0
0.0;0.0;0.0;4.66;92.25;2.21
0.0;0.0;0.0;4.41;92.25;2.14
0.0;0.0;0.0;4.31;92.25;2.07
0.0;0.0;0.0;3.44;92.15;2.14
0.0;0.0;0.0;3.2;92.15;1.93
0.0;0.0;0.0;3.11;92.15;1.79
0.0;0.0;0.0;3.42;88.75;1.72
0.0;0.0;0.0;3.16;92.15;1.79
0.0;0.0;0.0;2.9;88.7;1.93
0.0;0.0;0.0;2.9;88.7;2.07
0.0;0.0;0.0;3.09;88.7;2.14
0.0;0.0;0.0;3.09;88.7;2.28
0.0;0.0;0.0;3.22;88.7;2.34
0.0;0.0;0.0;3.05;88.7;2.41
0.0;0.0;0.0;2.88;88.7;2.34
0.0;0.0;0.0;3.15;88.7;2.34
10.0;0.0;10.0;2.84;88.7;2.21
89.0;22.65;84.0;3.08;92.15;2.0
267.0;618.13;81.0;4.03;88.8;2.14
205.0;128.82;161.0;5.48;85.65;2.28
222.0;188.28;158.0;5.99;82.55;2.07
264.0;634.97;76.0;6.91;79.55;2.34
173.0;530.43;60.0;7.76;76.7;2.9
46.0;114.04;35.0;7.16;76.65;2.76
0.0;0.0;0.0;5.8;76.55;2.41
0.0;0.0;0.0;4.89;79.35;2.21
0.0;0.0;0.0;4.48;82.35;2.14
0.0;0.0;0.0;3.96;82.3;1.93
0.0;0.0;0.0;3.48;82.25;2.0
0.0;0.0;0.0;2.54;85.35;2.07
0.0;0.0;0.0;2.48;85.35;2.07
0.0;0.0;0.0;2.84;82.2;2.07
0.0;0.0;0.0;3.32;82.25;2.14
0.0;0.0;0.0;2.79;82.2;2.28
