Latitude (decimal degrees):	52.256
Longitude (decimal degrees):	4.887
Elevation (m):	-4
Radiation database:	PVGIS-SARAH3


Slope: 39 deg. (optimum)
Azimuth: 1 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20050101:0011,0.0,0.0,6.29,2.62,0.0
20050101:0111,0.0,0.0,6.09,2.9,0.0
20050101:0211,0.0,0.0,6.03,3.03,0.0
20050101:0311,0.0,0.0,5.91,2.83,0.0
20050101:0411,0.0,0.0,5.67,2.55,0.0
20050101:0511,0.0,0.0,5.31,2.62,0.0
20050101:0611,0.0,0.0,4.45,2.9,0.0
20050101:0711,0.0,0.0,4.39,3.31,0.0
20050101:0811,0.0,0.0,4.24,3.45,0.0
20050101:0911,20.93,7.68,4.94,3.72,0.0
20050101:1011,103.1,12.05,5.75,3.79,0.0
20050101:1111,73.83,14.39,6.47,4.76,0.0
20050101:1211,255.05,14.5,7.08,5.38,0.0
20050101:1311,221.67,12.36,7.26,5.45,0.0
20050101:1411,32.76,8.17,7.19,5.38,0.0
20050101:1511,3.64,2.26,7.01,5.45,0.0
20050101:1611,0.0,0.0,6.53,5.86,0.0
20050101:1711,0.0,0.0,6.73,6.83,0.0
20050101:1811,0.0,0.0,7.28,7.17,0.0
20050101:1911,0.0,0.0,8.41,8.41,0.0
20050101:2011,0.0,0.0,9.1,9.17,0.0
20050101:2111,0.0,0.0,9.64,9.86,0.0
20050101:2211,0.0,0.0,9.48,10.48,0.0
20050101:2311,0.0,0.0,8.8,8.83,0.0
20050102:0011,0.0,0.0,8.04,9.52,0.0
20050102:0111,0.0,0.0,7.04,9.24,0.0
20050102:0211,0.0,0.0,6.43,8.9,0.0
20050102:0311,0.0,0.0,6.21,8.83,0.0
20050102:0411,0.0,0.0,5.96,8.9,0.0
20050102:0511,0.0,0.0,5.61,8.69,0.0
20050102:0611,0.0,0.0,5.5,8.48,0.0
20050102:0711,0.0,0.0,5.01,8.21,0.0
20050102:0811,0.0,0.0,4.93,8.28,0.0
20050102:0911,62.2,7.72,5.16,8.41,0.0
20050102:1011,18.2,12.11,5.66,8.76,0.0
20050102:1111,39.12,14.47,6.01,8.97,0.0
20050102:1211,31.85,14.59,6.14,8.83,0.0
20050102:1311,156.8,12.47,6.15,8.9,0.0
20050102:1411,72.12,8.29,6.07,8.62,0.0
20050102:1511,47.72,2.38,5.92,8.28,0.0
20050102:1611,0.0,0.0,5.81,7.93,0.0
20050102:1711,0.0,0.0,5.75,7.79,0.0
20050102:1811,0.0,0.0,5.71,7.86,0.0
20050102:1911,0.0,0.0,5.86,7.72,0.0
20050102:2011,0.0,0.0,5.76,8.0,0.0
20050102:2111,0.0,0.0,5.87,8.34,0.0
20050102:2211,0.0,0.0,5.83,8.34,0.0
20050102:2311,0.0,0.0,5.78,8.28,0.0
20050103:0011,0.0,0.0,5.61,7.93,0.0
20050103:0111,0.0,0.0,5.77,7.66,0.0
20050103:0211,0.0,0.0,5.67,7.52,0.0
20050103:0311,0.0,0.0,5.71,7.45,0.0
20050103:0411,0.0,0.0,5.92,7.03,0.0
20050103:0511,0.0,0.0,5.92,6.69,0.0
20050103:0611,0.0,0.0,5.82,6.34,0.0
20050103:0711,0.0,0.0,5.91,6.62,0.0
