ghi;dni;dhi;temp_air;ws10
0.0;0.0;0.0;5.31;4.86
0.0;0.0;0.0;4.7;4.56
0.0;0.0;0.0;4.1;4.27
0.0;0.0;0.0;3.49;3.98
0.0;0.0;0.0;2.88;3.68
0.0;0.0;0.0;2.27;3.39
0.0;0.0;0.0;1.67;3.1
0.0;0.0;0.0;1.06;2.81
0.0;0.0;0.0;2.46;4.14
31.0;76.66;24.0;3.19;4.34
40.0;6.77;39.0;3.85;4.48
21.0;0.0;21.0;4.5;4.62
20.0;0.0;20.0;4.91;4.9
9.0;0.0;9.0;5.34;5.1
4.0;0.0;4.0;5.56;5.17
0.0;0.0;0.0;5.59;5.03
0.0;0.0;0.0;5.49;4.97
0.0;0.0;0.0;5.27;5.24
0.0;0.0;0.0;5.11;5.59
0.0;0.0;0.0;5.06;6.0
0.0;0.0;0.0;4.87;6.14
0.0;0.0;0.0;4.8;6.55
0.0;0.0;0.0;4.86;7.24
0.0;0.0;0.0;4.66;7.72
0.0;0.0;0.0;4.83;8.34
0.0;0.0;0.0;5.67;8.07
0.0;0.0;0.0;5.38;9.03
0.0;0.0;0.0;4.72;8.34
0.0;0.0;0.0;4.37;7.59
0.0;0.0;0.0;3.96;7.38
0.0;0.0;0.0;3.53;7.52
0.0;0.0;0.0;3.71;7.17
0.0;0.0;0.0;3.21;7.38
4.0;0.0;4.0;3.06;7.38
33.0;0.0;33.0;3.17;7.79
12.0;0.0;12.0;3.32;7.59
105.0;195.63;73.0;3.25;7.66
31.0;0.0;31.0;3.4;7.72
4.0;0.0;4.0;3.18;7.79
0.0;0.0;0.0;2.71;7.52
0.0;0.0;0.0;2.67;7.45
0.0;0.0;0.0;2.54;7.31
0.0;0.0;0.0;2.62;7.31
0.0;0.0;0.0;2.32;7.31
0.0;0.0;0.0;2.2;7.38
0.0;0.0;0.0;2.31;7.03
0.0;0.0;0.0;2.73;6.9
0.0;0.0;0.0;2.95;6.76
0.0;0.0;0.0;3.12;6.69
0.0;0.0;0.0;3.12;6.62
0.0;0.0;0.0;3.05;6.76
0.0;0.0;0.0;2.98;6.9
0.0;0.0;0.0;2.97;7.03
0.0;0.0;0.0;3.16;7.03
0.0;0.0;0.0;3.17;6.83
0.0;0.0;0.0;3.05;6.69
0.0;0.0;0.0;3.19;6.62
5.0;0.0;5.0;3.47;6.76
81.0;166.38;56.0;3.87;7.1
75.0;40.03;68.0;4.26;7.52
98.0;145.13;74.0;4.55;7.03
35.0;0.0;35.0;4.88;6.62
14.0;0.0;14.0;4.97;6.34
0.0;0.0;0.0;4.99;5.31
0.0;0.0;0.0;5.49;5.1
0.0;0.0;0.0;6.29;6.34
0.0;0.0;0.0;7.02;7.1
0.0;0.0;0.0;7.09;6.62
0.0;0.0;0.0;7.13;6.62
0.0;0.0;0.0;6.85;6.62
0.0;0.0;0.0;6.76;6.41
0.0;0.0;0.0;6.86;5.93
0.0;0.0;0.0;7.12;5.59
0.0;0.0;0.0;7.61;6.28
0.0;0.0;0.0;8.16;7.1
0.0;0.0;0.0;8.33;7.17
0.0;0.0;0.0;8.16;6.83
0.0;0.0;0.0;7.92;6.9
0.0;0.0;0.0;7.69;6.83
0.0;0.0;0.0;7.73;6.76
0.0;0.0;0.0;7.7;6.34
5.0;0.0;5.0;7.81;6.21
9.0;0.0;9.0;7.95;6.34
15.0;0.0;15.0;8.09;6.69
12.0;0.0;12.0;8.15;6.97
9.0;0.0;9.0;8.16;7.17
4.0;0.0;4.0;8.05;7.24
0.0;0.0;0.0;8.12;7.38
0.0;0.0;0.0;8.31;7.66
0.0;0.0;0.0;8.49;7.79
0.0;0.0;0.0;7.89;7.93
0.0;0.0;0.0;6.88;8.0
0.0;0.0;0.0;6.29;7.52
0.0;0.0;0.0;6.06;7.45
0.0;0.0;0.0;5.91;7.17
0.0;0.0;0.0;5.67;6.62
0.0;0.0;0.0;5.56;6.14
0.0;0.0;0.0;5.57;5.86
0.0;0.0;0.0;5.33;5.66
0.0;0.0;0.0;5.26;5.59
0.0;0.0;0.0;5.19;5.59
0.0;0.0;0.0;5.31;5.72
0.0;0.0;0.0;5.14;6.07
0.0;0.0;0.0;5.06;6.07
0.0;0.0;0.0;5.01;6.0
6.0;0.0;6.0;5.31;5.79
93.0;261.07;53.0;5.95;5.79
73.0;33.64;67.0;6.41;5.52
16.0;0.0;16.0;6.68;5.38
80.0;165.64;59.0;6.72;5.17
33.0;111.96;27.0;6.57;4.97
0.0;0.0;0.0;6.01;4.69
0.0;0.0;0.0;5.39;4.83
0.0;0.0;0.0;5.18;5.17
0.0;0.0;0.0;5.0;5.31
0.0;0.0;0.0;5.14;6.0
0.0;0.0;0.0;5.14;6.48
0.0;0.0;0.0;5.13;6.41
0.0;0.0;0.0;5.1;6.34
0.0;0.0;0.0;5.28;6.28
0.0;0.0;0.0;5.16;6.07
0.0;0.0;0.0;5.07;5.79
0.0;0.0;0.0;5.51;5.17
0.0;0.0;0.0;5.92;5.45
0.0;0.0;0.0;5.38;5.66
0.0;0.0;0.0;4.93;6.14
0.0;0.0;0.0;4.73;6.69
0.0;0.0;0.0;4.98;7.1
0.0;0.0;0.0;5.05;7.17
30.0;51.52;25.0;5.45;7.03
14.0;0.0;14.0;6.0;7.17
81.0;49.92;72.0;6.66;7.66
117.0;250.73;74.0;6.74;7.79
84.0;185.85;60.0;6.8;7.1
7.0;0.0;7.0;6.46;6.14
0.0;0.0;0.0;6.01;5.66
0.0;0.0;0.0;5.56;5.17
0.0;0.0;0.0;5.21;5.38
0.0;0.0;0.0;5.32;5.86
0.0;0.0;0.0;6.08;7.03
0.0;0.0;0.0;6.31;7.72
0.0;0.0;0.0;7.08;7.79
0.0;0.0;0.0;7.71;8.28
0.0;0.0;0.0;8.16;8.21
0.0;0.0;0.0;8.61;8.0
0.0;0.0;0.0;9.0;8.28
0.0;0.0;0.0;9.05;8.55
0.0;0.0;0.0;8.79;9.1
0.0;0.0;0.0;8.44;9.24
0.0;0.0;0.0;8.37;9.17
0.0;0.0;0.0;8.37;9.17
0.0;0.0;0.0;9.3;8.9
0.0;0.0;0.0;9.62;9.38
4.0;0.0;4.0;9.96;9.72
62.0;51.06;54.0;10.23;9.93
13.0;0.0;13.0;10.38;10.14
62.0;11.51;60.0;10.55;10.07
38.0;0.0;38.0;10.6;9.59
5.0;0.0;5.0;10.59;8.76
0.0;0.0;0.0;10.66;8.21
0.0;0.0;0.0;10.69;7.93
0.0;0.0;0.0;10.6;7.38
0.0;0.0;0.0;10.29;6.41
0.0;0.0;0.0;9.68;6.28
0.0;0.0;0.0;9.49;6.41
0.0;0.0;0.0;9.38;6.28
0.0;0.0;0.0;9.26;6.28
0.0;0.0;0.0;9.13;5.79
0.0;0.0;0.0;8.95;5.52
0.0;0.0;0.0;8.77;6.34
0.0;0.0;0.0;8.65;7.59
0.0;0.0;0.0;8.41;8.14
0.0;0.0;0.0;8.14;8.14
0.0;0.0;0.0;8.2;8.34
0.0;0.0;0.0;8.25;8.34
0.0;0.0;0.0;8.89;8.48
0.0;0.0;0.0;8.57;8.62
6.0;0.0;6.0;8.02;9.03
16.0;0.0;16.0;7.53;9.45
13.0;0.0;13.0;7.87;10.34
13.0;0.0;13.0;8.59;11.52
10.0;0.0;10.0;7.92;12.55
5.0;0.0;5.0;6.93;13.66
0.0;0.0;0.0;6.53;13.52
0.0;0.0;0.0;5.44;16.9
0.0;0.0;0.0;4.98;17.38
0.0;0.0;0.0;5.54;14.76
0.0;0.0;0.0;5.69;13.59
0.0;0.0;0.0;5.46;13.03
0.0;0.0;0.0;5.17;12.41
0.0;0.0;0.0;5.0;11.72
0.0;0.0;0.0;4.76;11.17
0.0;0.0;0.0;4.66;9.66
0.0;0.0;0.0;4.26;10.07
0.0;0.0;0.0;4.44;9.72
0.0;0.0;0.0;4.42;9.03
0.0;0.0;0.0;4.47;8.48
0.0;0.0;0.0;4.26;8.21
0.0;0.0;0.0;4.1;7.1
0.0;0.0;0.0;4.21;5.86
0.0;0.0;0.0;4.33;5.45
4.0;0.0;4.0;4.64;5.66
48.0;12.45;46.0;5.05;6.48
13.0;0.0;13.0;5.44;7.72
79.0;39.17;72.0;5.88;7.86
77.0;102.25;63.0;6.28;7.59
17.0;0.0;17.0;6.38;6.9
0.0;0.0;0.0;6.11;6.0
0.0;0.0;0.0;6.03;5.24
0.0;0.0;0.0;5.85;4.48
0.0;0.0;0.0;5.64;4.14
0.0;0.0;0.0;6.86;5.17
0.0;0.0;0.0;7.33;5.38
0.0;0.0;0.0;7.08;5.45
0.0;0.0;0.0;6.75;5.86
0.0;0.0;0.0;6.9;5.79
0.0;0.0;0.0;6.93;5.86
0.0;0.0;0.0;6.59;5.86
0.0;0.0;0.0;6.78;6.48
0.0;0.0;0.0;7.54;7.24
0.0;0.0;0.0;8.46;7.45
0.0;0.0;0.0;9.28;7.86
0.0;0.0;0.0;9.93;8.21
0.0;0.0;0.0;10.52;8.83
0.0;0.0;0.0;10.59;8.83
4.0;0.0;4.0;10.73;9.03
10.0;0.0;10.0;10.84;9.1
25.0;0.0;25.0;10.98;9.17
13.0;0.0;13.0;10.95;9.31
12.0;0.0;12.0;10.88;9.31
5.0;0.0;5.0;10.89;9.1
0.0;0.0;0.0;10.63;9.31
0.0;0.0;0.0;10.23;9.24
0.0;0.0;0.0;9.84;9.1
0.0;0.0;0.0;9.54;8.48
0.0;0.0;0.0;9.02;7.52
0.0;0.0;0.0;8.31;6.69
0.0;0.0;0.0;7.71;6.07
0.0;0.0;0.0;7.26;5.66
0.0;0.0;0.0;7.15;5.52
0.0;0.0;0.0;7.31;5.45
0.0;0.0;0.0;7.13;5.24
0.0;0.0;0.0;6.89;5.1
0.0;0.0;0.0;6.67;4.83
0.0;0.0;0.0;6.34;4.62
0.0;0.0;0.0;6.15;4.55
0.0;0.0;0.0;5.76;4.55
0.0;0.0;0.0;5.74;4.97
0.0;0.0;0.0;5.81;4.97
34.0;47.18;29.0;6.11;5.03
45.0;6.06;44.0;6.69;5.17
95.0;78.21;80.0;7.28;5.1
60.0;5.43;59.0;7.63;4.28
49.0;7.01;48.0;7.72;5.17
6.0;0.0;6.0;7.59;4.83
0.0;0.0;0.0;7.08;4.62
0.0;0.0;0.0;6.97;4.62
0.0;0.0;0.0;6.9;4.76
0.0;0.0;0.0;6.83;4.83
0.0;0.0;0.0;6.77;5.1
0.0;0.0;0.0;6.84;5.24
0.0;0.0;0.0;6.9;5.59
0.0;0.0;0.0;7.33;6.34
0.0;0.0;0.0;7.4;6.9
0.0;0.0;0.0;7.95;7.24
0.0;0.0;0.0;8.56;7.17
0.0;0.0;0.0;8.79;7.1
0.0;0.0;0.0;8.07;6.62
0.0;0.0;0.0;7.09;6.41
0.0;0.0;0.0;6.58;6.48
0.0;0.0;0.0;6.29;6.62
0.0;0.0;0.0;6.17;7.03
0.0;0.0;0.0;6.13;7.79
42.0;101.72;31.0;6.43;8.41
97.0;208.87;62.0;6.7;8.62
48.0;0.0;48.0;7.06;8.69
21.0;0.0;21.0;7.09;8.83
82.0;102.94;67.0;7.03;8.97
6.0;0.0;6.0;6.7;8.97
0.0;0.0;0.0;6.47;9.03
0.0;0.0;0.0;6.27;8.9
0.0;0.0;0.0;6.13;8.83
0.0;0.0;0.0;6.23;8.34
0.0;0.0;0.0;6.24;8.14
0.0;0.0;0.0;6.28;8.14
0.0;0.0;0.0;6.03;8.34
0.0;0.0;0.0;5.81;8.07
0.0;0.0;0.0;5.47;7.86
0.0;0.0;0.0;5.51;7.72
0.0;0.0;0.0;5.61;7.45
0.0;0.0;0.0;5.75;7.52
0.0;0.0;0.0;5.55;7.31
0.0;0.0;0.0;5.32;7.45
0.0;0.0;0.0;5.36;7.59
0.0;0.0;0.0;5.11;0.0
0.0;0.0;0.0;5.04;0.0
0.0;0.0;0.0;4.83;7.38
33.0;36.22;29.0;4.86;7.45
119.0;393.86;52.0;5.07;7.66
82.0;30.42;76.0;5.46;7.93
132.0;257.88;83.0;5.59;8.14
112.0;322.43;64.0;5.58;8.21
40.0;65.24;35.0;5.33;7.93
0.0;0.0;0.0;5.02;7.86
0.0;0.0;0.0;4.68;7.66
0.0;0.0;0.0;4.5;7.24
0.0;0.0;0.0;4.53;7.1
0.0;0.0;0.0;4.67;7.38
0.0;0.0;0.0;4.64;7.24
0.0;0.0;0.0;4.7;6.9
