ghi;dni;dhi;temp_air;ws10
0.0;0.0;0.0;-1.07;2.83
0.0;0.0;0.0;-1.62;2.6
0.0;0.0;0.0;-2.18;2.37
0.0;0.0;0.0;-2.73;2.13
0.0;0.0;0.0;-3.28;1.9
0.0;0.0;0.0;-3.84;1.67
0.0;0.0;0.0;-4.39;1.44
42.0;197.02;27.0;-4.95;1.21
96.0;72.11;82.0;-0.88;1.38
141.0;60.87;124.0;0.43;1.38
98.0;0.0;98.0;1.31;1.59
189.0;102.9;155.0;1.26;1.59
150.0;64.87;131.0;2.06;1.66
89.0;0.0;89.0;2.09;1.59
26.0;0.0;26.0;2.09;1.72
0.0;0.0;0.0;1.78;1.93
0.0;0.0;0.0;1.65;2.0
0.0;0.0;0.0;1.61;2.14
0.0;0.0;0.0;1.68;2.14
0.0;0.0;0.0;1.25;1.59
0.0;0.0;0.0;1.34;1.59
0.0;0.0;0.0;1.4;1.59
0.0;0.0;0.0;1.51;1.66
0.0;0.0;0.0;1.59;1.79
0.0;0.0;0.0;1.65;1.93
0.0;0.0;0.0;1.35;1.93
0.0;0.0;0.0;0.93;1.86
0.0;0.0;0.0;0.01;1.93
0.0;0.0;0.0;-0.59;2.0
0.0;0.0;0.0;-1.16;2.07
0.0;0.0;0.0;-1.48;2.07
38.0;143.98;27.0;-1.74;1.93
142.0;359.51;72.0;-0.25;1.79
246.0;592.48;80.0;2.08;2.07
302.0;675.87;81.0;3.99;2.34
306.0;665.79;85.0;5.59;2.76
252.0;536.14;94.0;6.74;2.97
65.0;0.0;65.0;7.22;3.24
35.0;0.0;35.0;6.77;3.24
0.0;0.0;0.0;5.43;3.31
0.0;0.0;0.0;4.66;3.31
0.0;0.0;0.0;4.41;3.38
0.0;0.0;0.0;4.25;3.31
0.0;0.0;0.0;3.56;2.55
0.0;0.0;0.0;3.53;2.55
0.0;0.0;0.0;3.68;2.55
0.0;0.0;0.0;3.74;2.62
0.0;0.0;0.0;4.47;2.62
0.0;0.0;0.0;5.0;2.62
0.0;0.0;0.0;4.81;2.55
