ghi;dni;dhi;temp_air;ws10
0.0;0.0;0.0;-0.81;2.11
0.0;0.0;0.0;-0.22;2.26
0.0;0.0;0.0;0.37;2.4
0.0;0.0;0.0;0.96;2.54
0.0;0.0;0.0;1.55;2.68
0.0;0.0;0.0;2.13;2.82
0.0;0.0;0.0;2.72;2.97
0.0;0.0;0.0;3.31;3.11
38.0;0.0;38.0;2.94;2.9
42.0;0.0;42.0;3.4;2.97
23.0;0.0;23.0;3.93;3.1
65.0;0.0;65.0;4.37;3.17
33.0;0.0;33.0;4.41;3.45
23.0;0.0;23.0;4.49;3.52
6.0;0.0;6.0;4.28;3.45
0.0;0.0;0.0;4.14;3.31
0.0;0.0;0.0;4.08;3.24
0.0;0.0;0.0;3.88;3.03
0.0;0.0;0.0;3.62;2.97
0.0;0.0;0.0;3.81;3.03
0.0;0.0;0.0;3.8;2.97
0.0;0.0;0.0;3.73;2.76
0.0;0.0;0.0;3.67;2.62
0.0;0.0;0.0;3.59;2.62
0.0;0.0;0.0;3.52;2.62
0.0;0.0;0.0;3.36;2.97
0.0;0.0;0.0;3.19;3.45
0.0;0.0;0.0;2.66;3.59
0.0;0.0;0.0;2.18;3.38
0.0;0.0;0.0;2.38;3.52
0.0;0.0;0.0;2.72;4.0
0.0;0.0;0.0;3.97;4.97
110.0;459.64;34.0;4.81;5.03
91.0;16.37;87.0;5.52;5.24
26.0;0.0;26.0;6.04;5.59
43.0;0.0;43.0;5.73;5.72
24.0;0.0;24.0;5.49;5.72
30.0;0.0;30.0;5.62;5.24
20.0;0.0;20.0;5.53;4.83
0.0;0.0;0.0;4.79;5.17
0.0;0.0;0.0;3.87;5.03
0.0;0.0;0.0;2.97;4.83
0.0;0.0;0.0;2.3;4.83
0.0;0.0;0.0;1.77;4.62
0.0;0.0;0.0;1.32;4.55
0.0;0.0;0.0;1.05;4.69
0.0;0.0;0.0;0.87;5.03
0.0;0.0;0.0;0.67;5.45
0.0;0.0;0.0;0.4;5.66
0.0;0.0;0.0;0.21;5.59
0.0;0.0;0.0;0.12;5.59
0.0;0.0;0.0;0.14;5.66
0.0;0.0;0.0;0.58;5.86
0.0;0.0;0.0;0.88;6.07
0.0;0.0;0.0;1.19;6.28
0.0;0.0;0.0;0.81;6.62
85.0;180.6;55.0;1.16;6.62
39.0;0.0;39.0;1.32;6.0
124.0;27.79;116.0;1.38;5.17
99.0;3.44;98.0;1.87;5.93
122.0;35.61;113.0;1.99;5.24
23.0;0.0;23.0;2.11;5.86
15.0;0.0;15.0;1.91;5.72
0.0;0.0;0.0;1.34;5.38
0.0;0.0;0.0;0.58;5.17
0.0;0.0;0.0;0.67;5.79
0.0;0.0;0.0;0.66;6.0
0.0;0.0;0.0;0.89;5.45
0.0;0.0;0.0;0.5;5.17
0.0;0.0;0.0;0.24;4.76
0.0;0.0;0.0;0.19;4.48
0.0;0.0;0.0;0.5;4.48
0.0;0.0;0.0;0.89;4.34
0.0;0.0;0.0;1.0;4.28
0.0;0.0;0.0;1.12;4.41
0.0;0.0;0.0;1.38;5.03
0.0;0.0;0.0;1.66;6.28
0.0;0.0;0.0;1.92;6.9
0.0;0.0;0.0;2.07;7.03
0.0;0.0;0.0;2.26;6.9
21.0;0.0;21.0;2.1;6.83
100.0;32.43;92.0;2.44;6.9
46.0;0.0;46.0;2.94;7.1
72.0;0.0;72.0;3.28;7.17
48.0;0.0;48.0;3.62;7.03
49.0;0.0;49.0;4.04;7.24
7.0;0.0;7.0;4.44;7.45
0.0;0.0;0.0;4.59;7.38
0.0;0.0;0.0;4.61;7.17
0.0;0.0;0.0;4.59;7.1
0.0;0.0;0.0;4.58;6.97
0.0;0.0;0.0;4.81;6.28
0.0;0.0;0.0;4.68;6.0
0.0;0.0;0.0;4.56;5.86
0.0;0.0;0.0;4.35;5.86
0.0;0.0;0.0;4.17;5.93
0.0;0.0;0.0;3.79;5.86
0.0;0.0;0.0;3.46;5.66
0.0;0.0;0.0;3.15;5.59
0.0;0.0;0.0;2.95;5.59
0.0;0.0;0.0;2.98;5.59
0.0;0.0;0.0;3.03;5.38
0.0;0.0;0.0;3.08;5.31
0.0;0.0;0.0;3.59;5.31
28.0;0.0;28.0;3.81;5.31
149.0;189.52;102.0;4.05;5.52
28.0;0.0;28.0;4.45;5.66
31.0;0.0;31.0;5.02;5.72
23.0;0.0;23.0;4.94;5.45
25.0;0.0;25.0;4.89;5.38
10.0;0.0;10.0;4.72;4.97
0.0;0.0;0.0;4.41;4.69
0.0;0.0;0.0;4.23;4.55
0.0;0.0;0.0;3.79;4.14
0.0;0.0;0.0;3.92;4.07
0.0;0.0;0.0;4.0;3.66
0.0;0.0;0.0;3.9;3.38
0.0;0.0;0.0;3.69;3.24
0.0;0.0;0.0;3.35;3.1
0.0;0.0;0.0;3.21;3.24
0.0;0.0;0.0;3.09;3.31
0.0;0.0;0.0;2.78;3.17
0.0;0.0;0.0;2.73;3.03
0.0;0.0;0.0;2.68;2.83
0.0;0.0;0.0;2.44;2.83
0.0;0.0;0.0;2.54;2.9
0.0;0.0;0.0;2.73;2.9
0.0;0.0;0.0;3.14;2.83
15.0;0.0;15.0;3.58;2.97
25.0;0.0;25.0;4.45;4.07
24.0;0.0;24.0;4.57;4.55
30.0;0.0;30.0;4.69;4.0
26.0;0.0;26.0;4.63;4.28
16.0;0.0;16.0;4.54;4.55
17.0;0.0;17.0;4.36;4.76
0.0;0.0;0.0;4.09;5.52
0.0;0.0;0.0;4.13;6.28
0.0;0.0;0.0;4.04;6.83
0.0;0.0;0.0;3.41;6.34
0.0;0.0;0.0;3.0;5.59
0.0;0.0;0.0;2.67;5.17
0.0;0.0;0.0;2.43;4.9
0.0;0.0;0.0;2.63;5.1
0.0;0.0;0.0;2.71;4.83
0.0;0.0;0.0;2.5;4.55
0.0;0.0;0.0;2.22;4.28
0.0;0.0;0.0;1.58;3.79
0.0;0.0;0.0;1.01;3.59
0.0;0.0;0.0;0.74;3.79
0.0;0.0;0.0;0.71;4.14
0.0;0.0;0.0;1.2;4.41
0.0;0.0;0.0;2.42;4.76
44.0;5.87;43.0;3.1;4.97
82.0;7.97;80.0;3.78;5.24
97.0;3.39;96.0;4.93;5.31
80.0;0.0;80.0;5.73;5.1
86.0;0.0;86.0;6.25;5.24
121.0;144.09;94.0;6.61;5.79
82.0;584.54;35.0;6.7;5.45
0.0;0.0;0.0;6.29;5.38
0.0;0.0;0.0;6.1;5.59
0.0;0.0;0.0;5.88;5.59
0.0;0.0;0.0;5.98;5.52
0.0;0.0;0.0;6.08;5.31
0.0;0.0;0.0;6.26;5.31
0.0;0.0;0.0;5.89;5.03
0.0;0.0;0.0;5.77;4.83
0.0;0.0;0.0;5.37;4.48
0.0;0.0;0.0;4.99;4.28
0.0;0.0;0.0;4.94;4.07
0.0;0.0;0.0;4.41;3.79
0.0;0.0;0.0;4.02;3.66
0.0;0.0;0.0;3.9;3.52
0.0;0.0;0.0;3.43;3.24
0.0;0.0;0.0;3.15;3.03
0.0;0.0;0.0;3.5;3.17
97.0;261.96;52.0;4.66;3.24
179.0;352.18;90.0;7.38;4.07
217.0;313.52;124.0;9.8;4.62
290.0;738.63;68.0;11.47;4.97
260.0;734.26;66.0;12.47;6.14
201.0;831.24;43.0;12.83;6.21
88.0;661.01;33.0;12.46;6.14
0.0;0.0;0.0;11.75;6.07
0.0;0.0;0.0;11.46;6.21
0.0;0.0;0.0;11.38;6.34
0.0;0.0;0.0;11.27;6.62
0.0;0.0;0.0;11.45;7.31
0.0;0.0;0.0;11.37;7.52
0.0;0.0;0.0;10.98;7.59
0.0;0.0;0.0;10.35;7.59
0.0;0.0;0.0;9.77;7.79
0.0;0.0;0.0;9.15;7.52
0.0;0.0;0.0;8.55;7.17
0.0;0.0;0.0;8.1;6.83
0.0;0.0;0.0;7.66;6.14
0.0;0.0;0.0;7.37;5.52
0.0;0.0;0.0;6.92;5.17
0.0;0.0;0.0;6.39;5.1
0.0;0.0;0.0;6.13;4.97
113.0;421.27;40.0;5.98;5.03
190.0;420.39;83.0;6.62;4.55
171.0;113.8;137.0;7.12;5.93
278.0;610.64;93.0;7.56;6.55
258.0;674.55;78.0;7.75;6.41
189.0;658.44;62.0;7.73;6.07
98.0;801.37;29.0;7.23;5.72
0.0;0.0;0.0;6.49;5.86
0.0;0.0;0.0;6.03;6.0
0.0;0.0;0.0;5.85;6.0
0.0;0.0;0.0;5.49;5.79
0.0;0.0;0.0;5.35;5.72
0.0;0.0;0.0;4.99;5.17
0.0;0.0;0.0;4.58;4.83
0.0;0.0;0.0;4.1;4.48
0.0;0.0;0.0;3.66;4.07
0.0;0.0;0.0;3.18;3.72
0.0;0.0;0.0;2.68;3.38
0.0;0.0;0.0;2.39;3.17
0.0;0.0;0.0;2.1;3.03
0.0;0.0;0.0;1.79;2.9
0.0;0.0;0.0;1.46;2.97
0.0;0.0;0.0;1.29;3.03
0.0;0.0;0.0;2.57;3.66
111.0;405.92;40.0;4.19;4.28
158.0;210.55;104.0;6.26;4.83
269.0;654.49;72.0;7.98;4.48
294.0;746.38;66.0;9.32;5.03
265.0;745.58;64.0;10.12;4.76
171.0;464.8;80.0;10.35;5.52
53.0;67.35;47.0;9.88;4.97
0.0;0.0;0.0;8.87;4.55
0.0;0.0;0.0;8.03;4.28
0.0;0.0;0.0;7.4;3.93
0.0;0.0;0.0;6.84;3.66
0.0;0.0;0.0;6.57;3.38
0.0;0.0;0.0;6.14;3.38
0.0;0.0;0.0;5.7;3.31
0.0;0.0;0.0;5.17;3.1
0.0;0.0;0.0;4.47;2.83
0.0;0.0;0.0;3.67;2.83
0.0;0.0;0.0;3.34;3.17
0.0;0.0;0.0;3.4;3.45
0.0;0.0;0.0;3.53;3.52
0.0;0.0;0.0;3.46;3.45
0.0;0.0;0.0;3.3;3.38
0.0;0.0;0.0;3.08;3.31
0.0;0.0;0.0;3.04;3.45
117.0;441.54;39.0;4.1;3.24
220.0;645.97;53.0;6.09;3.17
288.0;758.18;58.0;7.67;3.66
303.0;772.46;65.0;8.37;4.14
277.0;796.51;60.0;8.61;3.93
200.0;714.33;58.0;8.53;3.45
95.0;618.39;38.0;7.71;3.03
0.0;0.0;0.0;6.15;2.83
0.0;0.0;0.0;5.33;2.62
0.0;0.0;0.0;5.11;2.48
0.0;0.0;0.0;4.85;2.48
0.0;0.0;0.0;3.72;2.55
0.0;0.0;0.0;3.98;2.41
0.0;0.0;0.0;3.73;2.34
0.0;0.0;0.0;3.39;2.21
0.0;0.0;0.0;3.02;2.14
0.0;0.0;0.0;2.09;2.14
0.0;0.0;0.0;1.08;2.0
0.0;0.0;0.0;0.17;1.86
0.0;0.0;0.0;-0.75;1.72
0.0;0.0;0.0;-1.31;1.59
0.0;0.0;0.0;-1.81;1.72
0.0;0.0;0.0;-2.24;1.86
0.0;0.0;0.0;-1.77;2.14
123.0;498.54;34.0;-0.21;1.86
220.0;636.74;54.0;2.77;1.79
286.0;742.23;59.0;5.27;1.93
303.0;765.65;65.0;7.14;2.34
277.0;787.97;60.0;8.23;2.62
192.0;609.25;69.0;8.29;3.03
98.0;639.77;37.0;7.79;2.97
0.0;0.0;0.0;6.33;2.76
0.0;0.0;0.0;5.76;2.55
0.0;0.0;0.0;5.27;2.62
0.0;0.0;0.0;5.16;2.69
