ghi;dni;dhi;temp_air;ws10
0.0;0.0;0.0;4.4;1.45
0.0;0.0;0.0;3.8;1.55
0.0;0.0;0.0;3.2;1.64
0.0;0.0;0.0;2.6;1.73
0.0;0.0;0.0;2.0;1.83
0.0;0.0;0.0;1.4;1.92
0.0;0.0;0.0;0.8;2.02
0.0;0.0;0.0;0.21;2.11
59.0;193.74;39.0;1.41;2.21
105.0;49.21;94.0;1.64;3.38
259.0;474.95;112.0;2.01;3.52
218.0;135.09;170.0;2.6;3.24
192.0;72.66;166.0;3.12;3.1
129.0;15.78;124.0;3.24;3.17
112.0;51.02;100.0;3.23;3.38
17.0;0.0;17.0;2.95;3.17
0.0;0.0;0.0;2.38;2.9
0.0;0.0;0.0;1.73;2.9
0.0;0.0;0.0;1.38;3.1
0.0;0.0;0.0;1.26;3.1
0.0;0.0;0.0;1.18;3.17
0.0;0.0;0.0;1.03;3.24
0.0;0.0;0.0;0.92;3.17
0.0;0.0;0.0;0.48;3.17
0.0;0.0;0.0;0.26;3.17
0.0;0.0;0.0;-0.1;3.24
0.0;0.0;0.0;-0.35;3.38
0.0;0.0;0.0;-0.49;3.45
0.0;0.0;0.0;-0.54;3.52
0.0;0.0;0.0;-0.39;3.93
0.0;0.0;0.0;-0.33;4.07
0.0;0.0;0.0;-0.32;4.41
15.0;0.0;15.0;-0.14;4.55
25.0;0.0;25.0;0.15;4.62
26.0;0.0;26.0;0.55;4.9
118.0;2.8;117.0;1.04;5.03
130.0;5.57;128.0;1.34;4.76
27.0;0.0;27.0;1.51;4.69
35.0;0.0;35.0;1.74;4.69
55.0;74.57;46.0;1.63;4.14
0.0;0.0;0.0;1.44;4.69
0.0;0.0;0.0;1.19;4.48
0.0;0.0;0.0;1.03;4.41
0.0;0.0;0.0;0.79;4.48
0.0;0.0;0.0;0.69;4.48
0.0;0.0;0.0;0.63;4.48
0.0;0.0;0.0;0.55;4.41
0.0;0.0;0.0;0.46;4.21
0.0;0.0;0.0;0.36;4.07
0.0;0.0;0.0;0.42;4.0
0.0;0.0;0.0;0.42;3.86
0.0;0.0;0.0;0.32;3.72
0.0;0.0;0.0;0.24;3.66
0.0;0.0;0.0;0.21;3.59
0.0;0.0;0.0;0.2;3.31
0.0;0.0;0.0;0.53;2.97
13.0;0.0;13.0;0.36;3.24
115.0;75.65;98.0;0.51;3.17
157.0;57.81;139.0;1.02;3.66
71.0;0.0;71.0;1.69;3.59
91.0;0.0;91.0;1.93;3.17
117.0;6.24;115.0;2.07;2.97
108.0;37.59;99.0;1.92;2.69
66.0;146.33;48.0;1.62;2.28
0.0;0.0;0.0;1.25;1.59
0.0;0.0;0.0;0.82;1.45
0.0;0.0;0.0;0.05;1.45
0.0;0.0;0.0;-0.87;1.45
0.0;0.0;0.0;-1.25;1.38
0.0;0.0;0.0;-1.5;1.38
0.0;0.0;0.0;-1.04;1.24
0.0;0.0;0.0;-1.04;1.17
0.0;0.0;0.0;-0.99;1.03
0.0;0.0;0.0;-1.08;0.97
0.0;0.0;0.0;-1.1;0.97
0.0;0.0;0.0;-1.15;0.97
0.0;0.0;0.0;-1.49;1.1
0.0;0.0;0.0;-1.66;1.1
0.0;0.0;0.0;-1.65;1.03
0.0;0.0;0.0;-1.79;1.31
32.0;9.59;31.0;-1.82;1.38
129.0;124.18;101.0;-1.76;2.34
133.0;22.4;126.0;-0.16;2.41
104.0;0.0;104.0;1.07;2.41
194.0;68.91;169.0;1.95;2.62
60.0;0.0;60.0;2.56;2.62
105.0;28.96;98.0;2.79;2.69
22.0;0.0;22.0;2.5;2.34
0.0;0.0;0.0;1.85;1.79
0.0;0.0;0.0;0.78;1.86
0.0;0.0;0.0;-0.18;1.72
0.0;0.0;0.0;-1.02;2.14
0.0;0.0;0.0;-1.56;1.66
0.0;0.0;0.0;-1.74;1.38
0.0;0.0;0.0;-0.88;1.03
0.0;0.0;0.0;-0.24;0.76
0.0;0.0;0.0;-0.27;0.62
0.0;0.0;0.0;-0.15;0.48
0.0;0.0;0.0;-0.19;0.34
0.0;0.0;0.0;-0.15;0.34
0.0;0.0;0.0;-0.12;0.41
0.0;0.0;0.0;-0.23;0.55
0.0;0.0;0.0;-0.31;0.62
0.0;0.0;0.0;-0.8;1.1
26.0;0.0;26.0;-0.62;1.1
111.0;57.43;98.0;0.08;1.17
82.0;0.0;82.0;-2.15;1.86
145.0;11.08;141.0;0.81;2.07
154.0;16.45;148.0;1.96;2.41
149.0;33.86;138.0;2.54;2.83
180.0;323.64;101.0;2.63;2.97
13.0;0.0;13.0;2.47;2.9
0.0;0.0;0.0;1.92;2.41
0.0;0.0;0.0;1.53;2.41
0.0;0.0;0.0;1.13;2.55
0.0;0.0;0.0;0.04;2.21
0.0;0.0;0.0;-0.33;2.28
0.0;0.0;0.0;-0.77;2.21
0.0;0.0;0.0;-1.35;1.93
0.0;0.0;0.0;-1.58;1.93
0.0;0.0;0.0;-1.52;2.07
0.0;0.0;0.0;-1.58;2.07
0.0;0.0;0.0;-1.83;1.93
0.0;0.0;0.0;-2.32;1.72
0.0;0.0;0.0;-2.02;1.59
0.0;0.0;0.0;-1.67;1.45
0.0;0.0;0.0;-1.35;1.45
0.0;0.0;0.0;-1.5;1.52
30.0;9.48;29.0;-1.22;1.45
57.0;0.0;57.0;-1.14;1.59
60.0;0.0;60.0;-0.81;1.93
61.0;0.0;61.0;1.86;2.21
66.0;0.0;66.0;2.17;1.93
71.0;0.0;71.0;2.43;1.86
53.0;0.0;53.0;2.4;1.72
45.0;15.32;43.0;2.09;1.52
0.0;0.0;0.0;1.59;1.17
0.0;0.0;0.0;1.05;1.03
0.0;0.0;0.0;0.32;1.17
0.0;0.0;0.0;-0.46;1.38
0.0;0.0;0.0;-0.92;1.38
0.0;0.0;0.0;-1.13;1.38
0.0;0.0;0.0;-1.13;1.38
0.0;0.0;0.0;-1.09;1.38
0.0;0.0;0.0;-1.14;1.38
0.0;0.0;0.0;-1.21;1.31
0.0;0.0;0.0;-1.06;1.24
0.0;0.0;0.0;-0.92;1.24
0.0;0.0;0.0;-0.93;1.24
0.0;0.0;0.0;-0.79;1.17
0.0;0.0;0.0;-0.63;1.1
0.0;0.0;0.0;-2.38;2.14
69.0;291.52;38.0;-2.28;2.07
207.0;673.92;53.0;-1.28;2.55
295.0;663.46;85.0;0.59;2.69
253.0;214.07;175.0;1.78;2.69
221.0;113.88;179.0;2.28;2.83
149.0;30.35;139.0;2.65;2.9
88.0;8.03;86.0;2.66;2.83
104.0;525.3;34.0;2.39;2.62
0.0;0.0;0.0;1.75;2.14
0.0;0.0;0.0;0.86;2.14
0.0;0.0;0.0;0.4;2.28
0.0;0.0;0.0;-0.43;2.0
0.0;0.0;0.0;-1.6;2.0
0.0;0.0;0.0;-2.2;1.86
0.0;0.0;0.0;-2.48;1.86
0.0;0.0;0.0;-2.44;1.79
0.0;0.0;0.0;-2.25;1.86
0.0;0.0;0.0;-2.21;2.0
0.0;0.0;0.0;-1.99;1.93
0.0;0.0;0.0;-2.23;1.79
0.0;0.0;0.0;-2.48;1.72
0.0;0.0;0.0;-2.67;1.72
0.0;0.0;0.0;-2.75;1.79
0.0;0.0;0.0;-3.08;1.72
40.0;27.97;37.0;-3.06;1.86
177.0;378.65;90.0;-1.8;2.34
184.0;103.74;151.0;0.23;3.24
142.0;8.19;139.0;1.82;3.31
140.0;8.09;137.0;2.52;3.38
97.0;0.0;97.0;2.82;3.59
159.0;174.71;115.0;2.85;3.52
106.0;514.51;36.0;2.61;3.17
0.0;0.0;0.0;1.54;2.69
0.0;0.0;0.0;0.3;2.76
0.0;0.0;0.0;-0.6;2.83
0.0;0.0;0.0;-1.18;2.97
0.0;0.0;0.0;-1.64;2.9
0.0;0.0;0.0;-2.15;2.69
0.0;0.0;0.0;-2.67;2.34
0.0;0.0;0.0;-2.61;2.0
0.0;0.0;0.0;-3.09;2.0
0.0;0.0;0.0;-3.18;2.0
0.0;0.0;0.0;-2.32;1.72
0.0;0.0;0.0;-2.73;1.79
0.0;0.0;0.0;-3.03;1.86
0.0;0.0;0.0;-3.12;1.93
0.0;0.0;0.0;-3.18;2.0
0.0;0.0;0.0;-2.96;1.79
48.0;64.63;41.0;-2.73;1.72
131.0;112.49;105.0;-2.33;2.07
238.0;297.04;143.0;-0.95;2.34
250.0;195.47;178.0;0.3;2.48
196.0;61.6;173.0;1.1;2.69
203.0;128.51;160.0;1.49;2.97
184.0;294.54;109.0;1.87;3.17
115.0;597.39;32.0;1.57;2.62
0.0;0.0;0.0;0.72;2.9
0.0;0.0;0.0;0.14;3.31
0.0;0.0;0.0;-0.35;3.38
0.0;0.0;0.0;-0.69;3.03
0.0;0.0;0.0;-0.7;3.1
0.0;0.0;0.0;-0.87;2.83
0.0;0.0;0.0;-1.07;2.83
0.0;0.0;0.0;-1.34;2.97
0.0;0.0;0.0;-1.64;3.03
0.0;0.0;0.0;-2.21;3.03
0.0;0.0;0.0;-2.64;2.9
0.0;0.0;0.0;-3.0;2.97
0.0;0.0;0.0;-3.26;3.03
0.0;0.0;0.0;-3.56;3.03
0.0;0.0;0.0;-3.89;2.97
0.0;0.0;0.0;-4.04;2.62
59.0;146.15;43.0;-4.02;2.9
120.0;73.08;103.0;-2.65;3.31
109.0;3.11;108.0;-0.99;3.59
93.0;0.0;93.0;0.24;3.52
151.0;10.64;147.0;0.99;3.52
157.0;32.61;146.0;1.54;3.52
121.0;42.72;110.0;1.68;3.45
60.0;42.28;54.0;1.3;3.17
0.0;0.0;0.0;0.15;3.03
0.0;0.0;0.0;-0.84;3.24
0.0;0.0;0.0;-1.44;3.24
0.0;0.0;0.0;-1.84;3.24
0.0;0.0;0.0;-2.2;3.03
0.0;0.0;0.0;-2.72;2.83
0.0;0.0;0.0;-3.43;2.62
0.0;0.0;0.0;-4.1;2.48
0.0;0.0;0.0;-4.5;2.48
0.0;0.0;0.0;-4.51;2.41
0.0;0.0;0.0;-4.63;2.34
0.0;0.0;0.0;-5.01;2.48
0.0;0.0;0.0;-5.12;2.55
0.0;0.0;0.0;-4.95;2.41
0.0;0.0;0.0;-5.06;2.41
0.0;0.0;0.0;-5.2;2.48
51.0;81.26;42.0;-4.68;2.21
130.0;102.46;106.0;-3.9;2.97
235.0;262.67;150.0;-1.75;3.1
284.0;300.45;172.0;-0.27;2.76
350.0;610.45;119.0;0.7;2.62
324.0;699.78;86.0;1.38;2.97
239.0;671.82;64.0;1.61;3.03
119.0;579.42;35.0;1.23;2.62
0.0;0.0;0.0;-0.01;2.28
0.0;0.0;0.0;-1.47;2.07
0.0;0.0;0.0;-2.68;1.93
0.0;0.0;0.0;-4.19;2.21
0.0;0.0;0.0;-4.28;2.0
0.0;0.0;0.0;-4.44;2.0
0.0;0.0;0.0;-4.14;1.79
0.0;0.0;0.0;-4.16;1.72
0.0;0.0;0.0;-2.69;1.17
0.0;0.0;0.0;-2.35;0.97
0.0;0.0;0.0;-1.88;0.83
0.0;0.0;0.0;-1.84;0.76
0.0;0.0;0.0;-1.66;0.69
0.0;0.0;0.0;-1.69;0.83
0.0;0.0;0.0;-1.73;1.03
0.0;0.0;0.0;-3.05;1.52
14.0;0.0;14.0;-2.24;1.38
48.0;0.0;48.0;-1.1;1.59
86.0;0.0;86.0;0.04;1.79
54.0;0.0;54.0;1.58;2.0
136.0;5.25;134.0;2.3;2.28
43.0;0.0;43.0;2.28;1.93
47.0;0.0;47.0;1.78;1.66
47.0;6.75;46.0;1.91;1.79
0.0;0.0;0.0;1.5;1.79
0.0;0.0;0.0;1.41;1.86
0.0;0.0;0.0;1.5;1.86
0.0;0.0;0.0;1.85;1.72
0.0;0.0;0.0;1.91;1.72
0.0;0.0;0.0;1.97;1.45
0.0;0.0;0.0;2.01;1.24
0.0;0.0;0.0;2.31;1.1
0.0;0.0;0.0;2.55;1.1
0.0;0.0;0.0;2.82;1.1
0.0;0.0;0.0;3.21;1.03
0.0;0.0;0.0;3.75;0.9
0.0;0.0;0.0;4.02;0.9
0.0;0.0;0.0;4.23;0.76
0.0;0.0;0.0;4.7;0.55
0.0;0.0;0.0;5.13;0.48
38.0;17.6;36.0;5.12;0.48
53.0;0.0;53.0;5.12;0.55
104.0;3.05;103.0;5.23;0.48
158.0;18.54;151.0;5.4;0.48
182.0;39.08;167.0;5.68;0.48
67.0;0.0;67.0;5.42;0.76
30.0;0.0;30.0;5.31;0.9
33.0;0.0;33.0;4.86;1.24
0.0;0.0;0.0;4.77;1.31
0.0;0.0;0.0;5.03;1.31
0.0;0.0;0.0;5.44;1.24
0.0;0.0;0.0;5.13;1.52
0.0;0.0;0.0;5.2;1.59
0.0;0.0;0.0;5.2;1.93
0.0;0.0;0.0;5.25;2.14
0.0;0.0;0.0;5.22;1.93
0.0;0.0;0.0;5.18;1.93
0.0;0.0;0.0;5.07;2.0
0.0;0.0;0.0;5.01;2.07
0.0;0.0;0.0;4.92;2.07
0.0;0.0;0.0;4.9;2.28
0.0;0.0;0.0;5.06;2.62
0.0;0.0;0.0;5.13;2.83
0.0;0.0;0.0;5.24;1.79
54.0;86.75;44.0;5.1;2.14
121.0;70.91;104.0;5.36;2.14
146.0;27.26;137.0;6.39;1.86
159.0;18.41;152.0;6.89;1.66
72.0;0.0;72.0;7.51;1.86
138.0;11.46;134.0;7.86;0.9
157.0;129.65;122.0;7.77;0.41
61.0;32.33;56.0;7.35;0.9
0.0;0.0;0.0;6.55;1.31
0.0;0.0;0.0;6.06;1.72
0.0;0.0;0.0;5.83;1.79
0.0;0.0;0.0;5.65;1.66
0.0;0.0;0.0;5.44;1.86
0.0;0.0;0.0;5.48;1.66
0.0;0.0;0.0;5.38;1.52
0.0;0.0;0.0;5.36;1.66
0.0;0.0;0.0;5.59;1.93
0.0;0.0;0.0;5.81;2.07
0.0;0.0;0.0;5.84;2.62
0.0;0.0;0.0;5.66;2.34
0.0;0.0;0.0;5.58;2.83
0.0;0.0;0.0;5.25;2.9
0.0;0.0;0.0;4.8;2.83
0.0;0.0;0.0;4.65;3.45
15.0;0.0;15.0;4.02;3.38
76.0;4.14;75.0;3.33;3.31
85.0;0.0;85.0;2.84;3.24
88.0;0.0;88.0;2.54;3.1
98.0;0.0;98.0;2.36;3.1
74.0;0.0;74.0;2.16;3.38
49.0;0.0;49.0;1.89;2.97
47.0;6.33;46.0;1.66;2.76
0.0;0.0;0.0;1.3;3.45
0.0;0.0;0.0;1.03;3.52
0.0;0.0;0.0;0.93;3.86
0.0;0.0;0.0;1.07;4.41
0.0;0.0;0.0;0.89;4.41
0.0;0.0;0.0;0.61;4.41
0.0;0.0;0.0;0.14;4.14
0.0;0.0;0.0;-0.35;3.93
0.0;0.0;0.0;-0.8;3.66
0.0;0.0;0.0;-1.41;3.24
0.0;0.0;0.0;-1.74;3.1
0.0;0.0;0.0;-2.06;3.03
0.0;0.0;0.0;-2.24;2.9
0.0;0.0;0.0;-2.4;2.62
0.0;0.0;0.0;-2.4;2.9
0.0;0.0;0.0;-2.24;2.48
31.0;0.0;31.0;-2.15;2.14
37.0;0.0;37.0;-0.99;2.76
146.0;23.88;138.0;0.17;2.55
92.0;0.0;92.0;1.07;2.34
207.0;61.1;183.0;1.85;2.34
195.0;78.74;167.0;2.35;2.07
215.0;383.06;109.0;2.67;1.86
