ghi;dni;dhi;temp_air;ws10
0.0;0.0;0.0;5.05;1.75
0.0;0.0;0.0;5.02;1.66
0.0;0.0;0.0;4.99;1.58
0.0;0.0;0.0;4.96;1.49
0.0;0.0;0.0;4.92;1.4
0.0;0.0;0.0;4.89;1.32
0.0;0.0;0.0;4.86;1.23
0.0;0.0;0.0;4.83;1.15
4.0;0.0;4.0;5.85;2.34
117.0;84.63;98.0;6.36;2.83
160.0;38.14;147.0;7.02;3.93
234.0;83.99;199.0;7.57;4.62
172.0;6.71;169.0;8.05;4.76
148.0;2.33;147.0;8.3;3.93
63.0;0.0;63.0;8.51;3.66
52.0;0.0;52.0;8.4;3.59
79.0;364.89;36.0;8.27;3.59
0.0;0.0;0.0;8.15;3.79
0.0;0.0;0.0;8.09;3.86
0.0;0.0;0.0;7.97;4.21
0.0;0.0;0.0;8.0;4.41
0.0;0.0;0.0;8.07;4.48
0.0;0.0;0.0;8.1;4.55
0.0;0.0;0.0;8.1;4.62
0.0;0.0;0.0;8.02;4.62
0.0;0.0;0.0;8.09;4.55
0.0;0.0;0.0;8.16;4.41
0.0;0.0;0.0;8.24;4.21
0.0;0.0;0.0;8.27;3.93
0.0;0.0;0.0;8.29;3.52
0.0;0.0;0.0;8.29;3.31
0.0;0.0;0.0;8.32;2.83
24.0;26.49;22.0;8.36;2.55
95.0;31.15;88.0;8.5;2.34
120.0;5.86;118.0;8.65;2.34
161.0;9.58;157.0;8.86;2.62
163.0;4.46;161.0;9.23;3.45
232.0;71.93;201.0;9.42;3.72
124.0;2.72;123.0;9.51;4.07
85.0;3.83;84.0;9.6;4.07
40.0;16.65;38.0;9.72;3.93
0.0;0.0;0.0;9.78;3.93
0.0;0.0;0.0;9.88;3.93
0.0;0.0;0.0;10.31;3.86
0.0;0.0;0.0;10.47;3.93
0.0;0.0;0.0;10.59;4.0
0.0;0.0;0.0;10.63;3.93
0.0;0.0;0.0;10.67;4.0
0.0;0.0;0.0;10.62;3.93
0.0;0.0;0.0;10.6;4.0
0.0;0.0;0.0;10.49;4.21
0.0;0.0;0.0;10.29;4.14
0.0;0.0;0.0;10.06;4.28
0.0;0.0;0.0;9.75;4.21
0.0;0.0;0.0;9.39;4.07
0.0;0.0;0.0;8.94;3.72
49.0;410.58;18.0;8.82;3.59
159.0;311.07;89.0;9.09;3.52
205.0;131.55;160.0;9.47;3.38
131.0;0.0;131.0;9.77;3.72
176.0;8.9;172.0;9.92;3.59
193.0;25.42;182.0;10.01;3.24
61.0;0.0;61.0;9.91;2.41
170.0;208.8;115.0;10.05;2.41
45.0;32.65;41.0;9.94;2.0
0.0;0.0;0.0;9.85;2.0
0.0;0.0;0.0;9.78;2.07
0.0;0.0;0.0;9.95;2.48
0.0;0.0;0.0;9.91;2.55
0.0;0.0;0.0;9.8;2.21
0.0;0.0;0.0;9.73;2.14
0.0;0.0;0.0;9.75;2.34
0.0;0.0;0.0;9.73;2.76
0.0;0.0;0.0;9.49;3.03
0.0;0.0;0.0;9.29;3.66
0.0;0.0;0.0;9.0;4.41
0.0;0.0;0.0;8.44;4.83
0.0;0.0;0.0;7.79;4.76
0.0;0.0;0.0;7.29;4.69
0.0;0.0;0.0;7.42;5.1
23.0;13.23;22.0;7.61;5.45
76.0;4.44;75.0;7.77;6.07
176.0;61.25;155.0;8.19;7.66
127.0;0.0;127.0;8.33;8.48
121.0;0.0;121.0;8.86;9.79
116.0;0.0;116.0;8.88;9.24
69.0;0.0;69.0;7.48;6.41
42.0;0.0;42.0;6.85;6.41
59.0;88.02;48.0;4.8;6.14
0.0;0.0;0.0;4.48;4.97
0.0;0.0;0.0;4.02;4.34
0.0;0.0;0.0;4.07;3.86
0.0;0.0;0.0;3.71;3.52
0.0;0.0;0.0;3.33;3.1
0.0;0.0;0.0;3.07;2.55
0.0;0.0;0.0;2.52;2.28
0.0;0.0;0.0;2.16;2.14
0.0;0.0;0.0;1.93;2.21
0.0;0.0;0.0;1.78;2.34
0.0;0.0;0.0;2.33;2.34
0.0;0.0;0.0;2.65;2.21
0.0;0.0;0.0;2.86;2.14
0.0;0.0;0.0;2.72;2.0
0.0;0.0;0.0;3.19;2.28
37.0;145.05;26.0;3.31;2.48
193.0;579.68;62.0;3.68;2.34
93.0;0.0;93.0;5.07;3.17
175.0;14.25;169.0;6.52;3.45
279.0;123.69;223.0;7.57;3.79
243.0;77.89;209.0;8.56;3.93
73.0;0.0;73.0;8.81;3.86
43.0;0.0;43.0;8.68;3.72
52.0;47.05;46.0;8.26;3.59
0.0;0.0;0.0;7.66;2.83
0.0;0.0;0.0;6.93;2.41
0.0;0.0;0.0;6.83;2.48
0.0;0.0;0.0;6.59;2.28
0.0;0.0;0.0;6.48;2.21
0.0;0.0;0.0;6.5;2.14
0.0;0.0;0.0;6.58;2.0
0.0;0.0;0.0;6.68;1.79
0.0;0.0;0.0;6.66;1.52
0.0;0.0;0.0;6.82;1.52
0.0;0.0;0.0;6.87;1.66
0.0;0.0;0.0;6.92;1.72
0.0;0.0;0.0;6.8;1.79
0.0;0.0;0.0;6.56;1.93
0.0;0.0;0.0;6.39;2.07
43.0;249.47;24.0;5.96;2.07
138.0;163.26;101.0;6.78;2.14
252.0;284.26;154.0;7.69;2.48
403.0;700.64;107.0;8.63;3.59
396.0;497.27;170.0;9.09;3.72
180.0;13.68;174.0;9.53;3.45
260.0;223.45;176.0;10.11;3.31
111.0;22.16;105.0;10.33;3.1
61.0;84.52;50.0;10.03;2.69
0.0;0.0;0.0;8.98;1.93
0.0;0.0;0.0;7.88;1.79
0.0;0.0;0.0;7.84;1.45
0.0;0.0;0.0;7.21;1.52
0.0;0.0;0.0;6.35;1.59
0.0;0.0;0.0;6.23;1.38
0.0;0.0;0.0;6.37;1.17
0.0;0.0;0.0;6.63;1.03
0.0;0.0;0.0;6.64;0.97
0.0;0.0;0.0;6.72;0.97
0.0;0.0;0.0;6.54;1.03
0.0;0.0;0.0;6.26;0.97
0.0;0.0;0.0;6.08;0.97
0.0;0.0;0.0;5.88;0.97
0.0;0.0;0.0;6.35;1.24
45.0;287.21;23.0;6.51;1.17
100.0;39.58;91.0;7.3;0.97
292.0;500.17;119.0;8.06;1.17
428.0;858.56;64.0;8.94;1.31
459.0;843.68;74.0;9.9;1.24
438.0;821.27;76.0;10.52;1.45
310.0;438.73;144.0;10.92;1.38
143.0;80.49;121.0;11.14;1.17
75.0;188.17;50.0;11.02;0.9
0.0;0.0;0.0;10.32;0.34
0.0;0.0;0.0;10.05;0.07
0.0;0.0;0.0;9.47;0.76
0.0;0.0;0.0;7.67;1.24
0.0;0.0;0.0;6.15;1.66
0.0;0.0;0.0;5.25;1.66
0.0;0.0;0.0;4.78;1.52
0.0;0.0;0.0;4.11;1.59
0.0;0.0;0.0;3.65;1.66
0.0;0.0;0.0;3.21;1.66
0.0;0.0;0.0;2.91;1.59
0.0;0.0;0.0;2.57;1.59
0.0;0.0;0.0;2.26;1.52
0.0;0.0;0.0;2.28;1.45
0.0;0.0;0.0;2.05;1.31
47.0;298.14;24.0;2.08;1.31
206.0;687.76;49.0;3.34;1.03
346.0;826.8;59.0;6.16;0.9
247.0;93.99;207.0;8.82;0.76
364.0;342.57;207.0;10.69;0.69
435.0;747.07;104.0;12.02;0.9
319.0;446.31;149.0;12.86;1.03
