ghi;dni;dhi;temp_air;ws10
0.0;0.0;0.0;1.99;1.15
0.0;0.0;0.0;2.07;1.13
0.0;0.0;0.0;2.14;1.11
0.0;0.0;0.0;2.22;1.09
0.0;0.0;0.0;2.29;1.07
0.0;0.0;0.0;2.37;1.05
0.0;0.0;0.0;2.44;1.03
0.0;0.0;0.0;2.52;1.01
51.0;0.0;51.0;2.99;2.0
58.0;0.0;58.0;3.74;2.28
194.0;114.53;156.0;4.99;2.55
39.0;0.0;39.0;6.04;3.03
108.0;0.0;108.0;7.18;3.38
75.0;0.0;75.0;7.83;3.03
75.0;9.58;73.0;8.19;2.21
5.0;0.0;5.0;7.71;1.38
0.0;0.0;0.0;6.06;2.0
0.0;0.0;0.0;4.13;1.66
0.0;0.0;0.0;3.04;1.59
0.0;0.0;0.0;3.64;0.41
0.0;0.0;0.0;3.32;0.28
0.0;0.0;0.0;2.75;0.62
0.0;0.0;0.0;2.24;0.76
0.0;0.0;0.0;0.13;1.59
0.0;0.0;0.0;-0.26;1.79
0.0;0.0;0.0;0.05;2.07
0.0;0.0;0.0;0.23;2.62
0.0;0.0;0.0;0.66;3.17
0.0;0.0;0.0;0.68;3.52
0.0;0.0;0.0;0.51;3.45
0.0;0.0;0.0;0.52;3.31
0.0;0.0;0.0;0.35;2.76
39.0;0.0;39.0;0.71;2.62
239.0;707.73;57.0;2.55;2.48
329.0;799.42;63.0;5.62;2.55
360.0;763.52;80.0;8.61;2.76
352.0;784.76;72.0;10.8;2.48
286.0;701.5;73.0;11.69;2.69
182.0;602.28;55.0;11.24;2.0
51.0;294.8;26.0;9.86;2.14
0.0;0.0;0.0;7.28;2.9
0.0;0.0;0.0;5.11;2.69
0.0;0.0;0.0;3.48;2.55
0.0;0.0;0.0;3.45;2.0
0.0;0.0;0.0;3.16;1.72
0.0;0.0;0.0;2.72;1.59
0.0;0.0;0.0;1.95;1.59
0.0;0.0;0.0;1.46;1.72
0.0;0.0;0.0;1.38;1.72
0.0;0.0;0.0;1.19;1.59
0.0;0.0;0.0;1.9;1.17
0.0;0.0;0.0;1.66;1.24
0.0;0.0;0.0;0.31;1.72
0.0;0.0;0.0;0.01;1.66
0.0;0.0;0.0;-0.69;1.66
0.0;0.0;0.0;-0.43;1.24
32.0;0.0;32.0;-0.6;1.24
214.0;488.56;88.0;2.05;0.62
300.0;596.13;101.0;5.02;0.76
183.0;46.18;166.0;6.74;0.34
72.0;0.0;72.0;7.9;1.03
81.0;0.0;81.0;8.49;1.66
22.0;0.0;22.0;8.0;2.07
24.0;11.47;23.0;7.02;2.21
0.0;0.0;0.0;5.53;2.0
0.0;0.0;0.0;3.87;2.28
0.0;0.0;0.0;3.29;2.62
0.0;0.0;0.0;2.38;2.76
0.0;0.0;0.0;2.05;2.62
0.0;0.0;0.0;2.05;2.83
0.0;0.0;0.0;2.02;2.41
0.0;0.0;0.0;1.55;1.93
0.0;0.0;0.0;0.93;2.0
0.0;0.0;0.0;0.91;1.79
0.0;0.0;0.0;0.87;1.66
0.0;0.0;0.0;1.89;1.24
0.0;0.0;0.0;2.5;1.1
0.0;0.0;0.0;1.53;1.93
0.0;0.0;0.0;1.05;1.93
0.0;0.0;0.0;0.15;1.93
32.0;0.0;32.0;1.02;1.79
195.0;363.27;101.0;3.91;1.72
306.0;659.65;85.0;6.44;1.72
358.0;779.03;70.0;8.13;1.66
347.0;771.37;69.0;9.12;1.45
285.0;714.81;65.0;9.61;1.38
193.0;705.63;41.0;9.71;1.38
59.0;412.95;22.0;9.02;1.24
0.0;0.0;0.0;7.19;1.45
0.0;0.0;0.0;5.47;1.03
0.0;0.0;0.0;5.39;0.76
0.0;0.0;0.0;5.46;0.76
0.0;0.0;0.0;4.28;1.03
0.0;0.0;0.0;4.35;0.48
0.0;0.0;0.0;3.7;0.83
0.0;0.0;0.0;2.44;1.1
0.0;0.0;0.0;1.47;1.1
0.0;0.0;0.0;1.22;0.83
0.0;0.0;0.0;1.18;0.55
0.0;0.0;0.0;0.94;0.69
0.0;0.0;0.0;0.82;0.76
0.0;0.0;0.0;0.97;0.9
0.0;0.0;0.0;0.87;1.1
0.0;0.0;0.0;0.34;0.97
56.0;0.0;56.0;0.79;1.1
101.0;15.4;97.0;1.86;0.69
131.0;11.89;127.0;3.03;1.03
124.0;2.69;123.0;4.58;1.24
139.0;11.04;135.0;5.76;1.1
49.0;0.0;49.0;6.56;1.31
17.0;0.0;17.0;7.13;1.45
26.0;10.85;25.0;6.77;1.1
0.0;0.0;0.0;5.76;1.31
0.0;0.0;0.0;4.6;1.59
0.0;0.0;0.0;3.98;1.59
0.0;0.0;0.0;4.17;1.72
0.0;0.0;0.0;4.51;1.72
0.0;0.0;0.0;4.9;1.45
0.0;0.0;0.0;5.16;1.24
0.0;0.0;0.0;5.36;1.03
0.0;0.0;0.0;5.44;1.1
0.0;0.0;0.0;5.53;1.38
0.0;0.0;0.0;5.71;1.59
0.0;0.0;0.0;5.76;1.59
0.0;0.0;0.0;5.79;1.45
0.0;0.0;0.0;5.73;1.45
0.0;0.0;0.0;5.6;1.38
0.0;0.0;0.0;4.43;1.31
27.0;0.0;27.0;4.67;1.03
56.0;0.0;56.0;5.63;0.69
53.0;0.0;53.0;6.41;0.21
32.0;0.0;32.0;6.8;0.34
78.0;0.0;78.0;7.18;0.55
66.0;0.0;66.0;7.49;0.48
47.0;0.0;47.0;7.83;0.48
17.0;0.0;17.0;7.73;0.69
0.0;0.0;0.0;7.29;0.69
0.0;0.0;0.0;6.82;0.9
0.0;0.0;0.0;6.6;1.03
0.0;0.0;0.0;6.17;0.55
0.0;0.0;0.0;6.2;0.76
0.0;0.0;0.0;6.44;0.76
0.0;0.0;0.0;6.95;0.28
0.0;0.0;0.0;6.92;0.41
0.0;0.0;0.0;6.3;0.97
0.0;0.0;0.0;6.34;1.38
0.0;0.0;0.0;6.58;1.66
0.0;0.0;0.0;6.47;1.72
0.0;0.0;0.0;6.45;1.72
0.0;0.0;0.0;6.59;1.93
0.0;0.0;0.0;6.55;2.07
0.0;0.0;0.0;6.8;2.07
46.0;0.0;46.0;7.23;2.28
123.0;49.61;110.0;7.97;3.03
116.0;2.95;115.0;8.46;2.69
109.0;0.0;109.0;9.17;2.41
71.0;0.0;71.0;9.69;2.48
83.0;0.0;83.0;9.95;2.28
45.0;0.0;45.0;10.04;2.34
12.0;0.0;12.0;9.89;1.86
0.0;0.0;0.0;9.75;2.07
0.0;0.0;0.0;9.7;2.21
0.0;0.0;0.0;9.58;2.28
0.0;0.0;0.0;9.11;2.62
0.0;0.0;0.0;9.01;2.55
0.0;0.0;0.0;8.97;2.41
0.0;0.0;0.0;8.83;2.34
0.0;0.0;0.0;8.81;2.28
0.0;0.0;0.0;8.62;2.14
0.0;0.0;0.0;8.5;2.21
0.0;0.0;0.0;8.09;2.21
0.0;0.0;0.0;8.04;2.14
0.0;0.0;0.0;8.02;2.34
0.0;0.0;0.0;8.22;2.41
0.0;0.0;0.0;8.32;2.28
0.0;0.0;0.0;9.37;3.31
60.0;0.0;60.0;10.0;3.38
98.0;11.39;95.0;10.51;3.59
149.0;26.39;140.0;11.09;3.24
166.0;26.52;156.0;11.88;3.93
45.0;0.0;45.0;12.06;3.86
202.0;176.46;146.0;11.97;4.14
78.0;8.86;76.0;11.87;4.69
25.0;0.0;25.0;11.84;4.28
0.0;0.0;0.0;11.61;4.14
0.0;0.0;0.0;11.47;4.21
0.0;0.0;0.0;11.39;4.62
0.0;0.0;0.0;11.08;5.1
0.0;0.0;0.0;11.13;5.66
0.0;0.0;0.0;11.37;5.79
0.0;0.0;0.0;11.46;5.86
0.0;0.0;0.0;11.39;6.14
0.0;0.0;0.0;11.26;6.55
0.0;0.0;0.0;11.26;6.97
0.0;0.0;0.0;10.83;5.86
0.0;0.0;0.0;10.78;5.86
0.0;0.0;0.0;10.71;5.66
0.0;0.0;0.0;10.5;5.1
0.0;0.0;0.0;9.97;4.14
0.0;0.0;0.0;10.41;4.41
56.0;0.0;56.0;9.95;3.86
162.0;162.35;119.0;9.55;3.03
132.0;11.67;128.0;9.96;2.55
177.0;36.92;163.0;10.44;2.69
192.0;61.93;169.0;10.39;3.52
163.0;65.62;142.0;10.49;4.55
92.0;26.25;86.0;10.39;4.0
26.0;0.0;26.0;10.2;3.79
0.0;0.0;0.0;9.6;3.38
0.0;0.0;0.0;8.85;3.24
0.0;0.0;0.0;8.31;3.03
0.0;0.0;0.0;8.34;2.28
0.0;0.0;0.0;7.99;2.07
0.0;0.0;0.0;7.46;2.14
0.0;0.0;0.0;6.86;2.28
0.0;0.0;0.0;6.58;2.21
0.0;0.0;0.0;6.25;2.14
0.0;0.0;0.0;5.68;2.07
0.0;0.0;0.0;5.39;1.86
0.0;0.0;0.0;5.45;1.52
0.0;0.0;0.0;5.47;1.24
0.0;0.0;0.0;5.36;1.17
0.0;0.0;0.0;5.34;1.1
0.0;0.0;0.0;3.83;1.1
60.0;0.0;60.0;4.49;0.48
219.0;484.17;90.0;6.14;0.21
222.0;171.13;163.0;7.44;0.34
218.0;97.01;181.0;8.82;0.55
143.0;8.02;140.0;9.58;0.62
119.0;9.29;116.0;10.34;0.69
108.0;51.85;96.0;10.08;0.76
47.0;75.34;39.0;9.75;0.62
0.0;0.0;0.0;8.71;0.83
0.0;0.0;0.0;7.95;0.83
0.0;0.0;0.0;7.94;0.76
0.0;0.0;0.0;7.71;0.62
0.0;0.0;0.0;6.42;1.1
0.0;0.0;0.0;5.74;1.17
0.0;0.0;0.0;6.17;0.69
0.0;0.0;0.0;5.76;0.69
0.0;0.0;0.0;4.2;1.17
0.0;0.0;0.0;3.28;1.45
0.0;0.0;0.0;2.97;1.24
0.0;0.0;0.0;2.65;1.1
0.0;0.0;0.0;3.14;0.76
0.0;0.0;0.0;2.8;0.83
0.0;0.0;0.0;2.15;0.97
0.0;0.0;0.0;3.57;0.83
55.0;0.0;55.0;4.39;0.62
153.0;119.34;121.0;5.89;0.41
246.0;253.75;158.0;7.24;0.34
291.0;320.5;168.0;8.71;0.62
300.0;387.72;154.0;9.24;0.62
260.0;414.58;125.0;9.72;0.55
198.0;575.81;63.0;9.92;0.55
80.0;503.41;25.0;9.68;0.41
0.0;0.0;0.0;8.8;0.48
0.0;0.0;0.0;7.9;0.76
0.0;0.0;0.0;6.11;1.1
0.0;0.0;0.0;4.07;1.38
0.0;0.0;0.0;3.76;1.24
0.0;0.0;0.0;2.32;1.38
0.0;0.0;0.0;1.63;1.38
0.0;0.0;0.0;1.09;1.31
0.0;0.0;0.0;0.25;1.17
0.0;0.0;0.0;0.21;0.83
0.0;0.0;0.0;0.37;0.76
0.0;0.0;0.0;0.91;0.48
0.0;0.0;0.0;1.12;0.21
0.0;0.0;0.0;1.5;0.07
0.0;0.0;0.0;1.74;0.28
0.0;0.0;0.0;1.5;1.1
58.0;0.0;58.0;2.08;1.03
163.0;148.18;123.0;4.69;0.76
311.0;584.62;107.0;7.21;0.76
359.0;655.02;106.0;8.58;0.83
381.0;843.65;61.0;9.28;0.97
316.0;769.97;63.0;9.75;0.97
210.0;660.91;53.0;9.78;0.83
78.0;409.24;32.0;9.39;0.48
0.0;0.0;0.0;8.35;0.55
0.0;0.0;0.0;7.15;0.76
0.0;0.0;0.0;4.71;1.38
0.0;0.0;0.0;6.22;0.55
0.0;0.0;0.0;4.53;1.31
0.0;0.0;0.0;2.09;1.79
0.0;0.0;0.0;1.1;1.79
0.0;0.0;0.0;0.64;1.59
0.0;0.0;0.0;0.13;1.45
0.0;0.0;0.0;-0.09;1.45
0.0;0.0;0.0;-0.38;1.59
0.0;0.0;0.0;-0.6;1.59
0.0;0.0;0.0;-0.94;1.59
0.0;0.0;0.0;-1.16;1.66
0.0;0.0;0.0;-1.31;1.66
0.0;0.0;0.0;-0.52;1.59
40.0;0.0;40.0;0.24;1.45
252.0;717.26;57.0;3.04;1.66
342.0;785.86;66.0;5.24;1.86
386.0;812.71;70.0;7.12;1.93
382.0;829.52;65.0;8.61;1.93
322.0;790.02;60.0;9.52;1.86
212.0;643.86;57.0;9.92;1.66
81.0;415.11;33.0;9.39;1.45
0.0;0.0;0.0;7.75;2.14
0.0;0.0;0.0;5.62;2.14
0.0;0.0;0.0;3.93;1.93
0.0;0.0;0.0;3.72;1.24
0.0;0.0;0.0;2.84;1.17
0.0;0.0;0.0;2.72;0.97
0.0;0.0;0.0;1.84;0.69
0.0;0.0;0.0;1.08;0.62
0.0;0.0;0.0;-0.02;0.55
0.0;0.0;0.0;-0.68;0.55
0.0;0.0;0.0;-0.92;0.34
0.0;0.0;0.0;-1.17;0.41
0.0;0.0;0.0;-1.29;0.41
0.0;0.0;0.0;-1.16;0.34
0.0;0.0;0.0;-0.87;0.34
0.0;0.0;0.0;-0.62;0.62
47.0;0.0;47.0;0.12;0.48
250.0;682.71;63.0;2.53;0.41
347.0;800.37;64.0;4.18;0.48
389.0;814.79;70.0;5.44;0.76
324.0;457.03;148.0;6.3;0.97
336.0;860.25;48.0;7.05;1.17
197.0;471.3;82.0;7.56;1.38
92.0;554.91;26.0;7.12;1.31
0.0;0.0;0.0;6.21;1.52
0.0;0.0;0.0;4.69;1.52
0.0;0.0;0.0;3.37;1.38
0.0;0.0;0.0;2.97;1.45
0.0;0.0;0.0;2.2;1.59
0.0;0.0;0.0;1.93;1.52
0.0;0.0;0.0;1.73;1.45
0.0;0.0;0.0;2.06;1.17
0.0;0.0;0.0;2.32;0.9
0.0;0.0;0.0;2.55;0.62
0.0;0.0;0.0;2.23;0.69
0.0;0.0;0.0;1.55;0.83
0.0;0.0;0.0;0.5;1.1
0.0;0.0;0.0;0.53;0.97
0.0;0.0;0.0;0.9;0.69
0.0;0.0;0.0;2.06;0.34
67.0;0.0;67.0;2.16;0.34
152.0;97.8;125.0;3.64;0.28
133.0;8.43;130.0;4.8;0.55
154.0;10.14;150.0;5.95;0.97
118.0;0.0;118.0;6.37;1.17
178.0;68.04;155.0;6.81;1.1
62.0;0.0;62.0;6.85;0.83
67.0;163.5;47.0;6.68;1.03
0.0;0.0;0.0;5.99;1.24
0.0;0.0;0.0;5.25;1.45
0.0;0.0;0.0;4.72;1.45
0.0;0.0;0.0;4.65;1.59
0.0;0.0;0.0;4.37;1.79
0.0;0.0;0.0;4.29;1.93
0.0;0.0;0.0;4.12;2.07
0.0;0.0;0.0;4.04;2.07
0.0;0.0;0.0;3.99;2.07
0.0;0.0;0.0;3.9;2.0
0.0;0.0;0.0;3.81;1.59
0.0;0.0;0.0;3.78;1.17
0.0;0.0;0.0;3.63;0.83
0.0;0.0;0.0;3.58;0.76
0.0;0.0;0.0;3.48;1.1
0.0;0.0;0.0;3.02;0.55
67.0;0.0;67.0;3.39;0.9
88.0;3.59;87.0;4.01;1.31
105.0;0.0;105.0;4.86;1.45
136.0;2.52;135.0;5.75;1.31
142.0;5.11;140.0;6.13;1.45
219.0;169.91;161.0;6.58;1.52
201.0;462.52;85.0;6.54;1.52
89.0;421.38;36.0;6.22;1.72
0.0;0.0;0.0;4.98;1.79
0.0;0.0;0.0;3.76;1.66
0.0;0.0;0.0;2.32;1.72
0.0;0.0;0.0;1.6;1.31
0.0;0.0;0.0;1.34;1.03
0.0;0.0;0.0;0.92;0.97
0.0;0.0;0.0;-0.48;1.45
0.0;0.0;0.0;-1.02;1.45
0.0;0.0;0.0;-1.52;1.59
0.0;0.0;0.0;-1.65;1.59
0.0;0.0;0.0;-1.82;1.45
0.0;0.0;0.0;-1.91;1.52
0.0;0.0;0.0;-2.03;1.66
0.0;0.0;0.0;-1.8;1.93
0.0;0.0;0.0;-0.79;2.21
0.0;0.0;0.0;-1.45;3.1
57.0;0.0;57.0;-0.56;3.52
207.0;306.37;121.0;1.68;3.79
328.0;594.95;113.0;5.1;3.86
237.0;107.45;194.0;8.26;3.52
344.0;504.38;145.0;9.58;3.31
331.0;739.6;76.0;9.82;3.79
245.0;802.15;41.0;9.27;3.38
100.0;533.61;31.0;8.21;3.17
0.0;0.0;0.0;6.1;2.97
0.0;0.0;0.0;4.2;2.83
0.0;0.0;0.0;2.99;2.55
0.0;0.0;0.0;2.3;2.48
0.0;0.0;0.0;0.95;2.41
0.0;0.0;0.0;-0.15;2.48
0.0;0.0;0.0;-0.84;2.41
0.0;0.0;0.0;-1.51;2.07
0.0;0.0;0.0;-1.47;1.66
0.0;0.0;0.0;-2.22;1.93
0.0;0.0;0.0;-2.58;2.0
0.0;0.0;0.0;-2.95;2.07
0.0;0.0;0.0;-3.04;2.14
0.0;0.0;0.0;-3.16;1.86
0.0;0.0;0.0;-2.8;1.45
0.0;0.0;0.0;-0.4;0.76
39.0;0.0;39.0;0.44;0.48
265.0;730.93;58.0;2.11;0.41
360.0;810.02;65.0;5.39;0.62
397.0;781.05;82.0;7.41;0.97
384.0;731.38;93.0;8.8;1.59
342.0;806.8;61.0;9.45;1.86
229.0;639.75;64.0;9.39;1.66
100.0;496.59;34.0;8.5;1.59
0.0;0.0;0.0;6.66;2.14
0.0;0.0;0.0;4.37;2.28
0.0;0.0;0.0;3.05;2.14
0.0;0.0;0.0;1.59;2.0
0.0;0.0;0.0;0.74;2.07
0.0;0.0;0.0;0.28;1.86
0.0;0.0;0.0;-0.38;1.86
0.0;0.0;0.0;-0.74;1.79
0.0;0.0;0.0;-1.29;1.86
0.0;0.0;0.0;-1.55;1.79
0.0;0.0;0.0;-1.85;1.79
