ghi;dni;dhi;temp_air;ws10
0.0;0.0;0.0;3.52;4.29
0.0;0.0;0.0;3.28;4.29
0.0;0.0;0.0;3.03;4.3
0.0;0.0;0.0;2.79;4.31
0.0;0.0;0.0;2.54;4.32
0.0;0.0;0.0;2.29;4.32
0.0;0.0;0.0;2.05;4.33
0.0;0.0;0.0;1.8;4.34
13.0;21.72;12.0;3.83;4.41
58.0;12.19;56.0;4.74;4.34
196.0;402.63;95.0;5.79;4.62
32.0;0.0;32.0;6.22;4.34
154.0;54.92;137.0;6.58;4.41
232.0;497.31;94.0;6.91;4.48
17.0;0.0;17.0;7.02;4.41
65.0;315.95;33.0;6.63;4.21
0.0;0.0;0.0;5.96;3.86
0.0;0.0;0.0;5.62;4.0
0.0;0.0;0.0;5.45;4.0
0.0;0.0;0.0;4.99;3.66
0.0;0.0;0.0;5.07;3.72
0.0;0.0;0.0;4.95;3.72
0.0;0.0;0.0;4.79;3.79
0.0;0.0;0.0;4.5;3.93
0.0;0.0;0.0;4.18;3.93
0.0;0.0;0.0;3.94;3.93
0.0;0.0;0.0;3.81;3.93
0.0;0.0;0.0;3.68;3.93
0.0;0.0;0.0;3.67;3.86
0.0;0.0;0.0;3.48;3.72
0.0;0.0;0.0;3.4;3.59
0.0;0.0;0.0;2.94;3.31
17.0;64.76;14.0;2.38;3.03
116.0;321.95;63.0;2.65;2.69
212.0;512.48;83.0;3.66;2.97
283.0;689.5;75.0;4.65;3.59
296.0;716.88;73.0;5.09;3.38
259.0;687.48;67.0;5.57;3.24
180.0;599.6;55.0;5.84;3.1
69.0;347.94;33.0;5.67;2.55
0.0;0.0;0.0;5.0;2.07
0.0;0.0;0.0;4.43;1.79
0.0;0.0;0.0;4.07;1.59
0.0;0.0;0.0;4.33;1.45
0.0;0.0;0.0;3.7;1.38
0.0;0.0;0.0;3.81;0.97
0.0;0.0;0.0;3.88;0.83
0.0;0.0;0.0;3.14;1.1
0.0;0.0;0.0;2.65;1.31
0.0;0.0;0.0;2.34;1.38
0.0;0.0;0.0;1.82;1.52
0.0;0.0;0.0;2.07;1.38
0.0;0.0;0.0;2.01;1.45
0.0;0.0;0.0;2.49;1.66
0.0;0.0;0.0;2.59;2.0
0.0;0.0;0.0;2.15;1.66
12.0;21.41;11.0;2.01;1.45
98.0;175.43;69.0;2.04;1.86
133.0;83.1;112.0;2.28;1.38
194.0;174.93;141.0;2.61;1.17
160.0;63.96;140.0;2.82;1.66
212.0;341.41;116.0;3.1;1.45
180.0;584.04;57.0;3.35;1.17
51.0;104.02;40.0;3.29;1.03
0.0;0.0;0.0;3.07;0.83
0.0;0.0;0.0;2.93;0.76
0.0;0.0;0.0;2.75;0.55
0.0;0.0;0.0;3.2;1.38
0.0;0.0;0.0;2.93;1.45
0.0;0.0;0.0;2.77;1.52
0.0;0.0;0.0;2.71;1.59
0.0;0.0;0.0;2.83;1.66
0.0;0.0;0.0;2.81;1.79
0.0;0.0;0.0;2.67;1.79
0.0;0.0;0.0;2.59;1.93
0.0;0.0;0.0;2.44;2.14
0.0;0.0;0.0;2.27;2.28
0.0;0.0;0.0;2.13;2.41
0.0;0.0;0.0;1.93;2.41
0.0;0.0;0.0;2.12;2.62
15.0;42.34;13.0;1.88;2.55
74.0;54.18;65.0;1.76;2.34
74.0;0.0;74.0;1.81;2.69
274.0;617.55;86.0;2.25;2.48
266.0;496.1;110.0;3.17;2.62
215.0;346.03;117.0;3.6;2.55
172.0;493.32;67.0;3.74;2.9
72.0;351.39;34.0;3.53;2.97
0.0;0.0;0.0;3.07;2.55
0.0;0.0;0.0;2.69;2.62
0.0;0.0;0.0;2.56;2.9
0.0;0.0;0.0;2.47;2.69
0.0;0.0;0.0;1.98;2.69
0.0;0.0;0.0;1.31;2.76
0.0;0.0;0.0;0.47;2.76
0.0;0.0;0.0;0.0;2.83
0.0;0.0;0.0;-0.59;2.83
0.0;0.0;0.0;-0.83;2.97
0.0;0.0;0.0;-1.35;3.03
0.0;0.0;0.0;-1.31;3.1
0.0;0.0;0.0;-0.98;3.17
0.0;0.0;0.0;-0.77;3.1
0.0;0.0;0.0;-0.69;3.03
0.0;0.0;0.0;-0.74;2.97
20.0;104.45;15.0;-0.69;2.83
84.0;83.82;70.0;-0.19;2.48
98.0;11.76;95.0;0.26;2.9
79.0;0.0;79.0;1.11;3.66
74.0;0.0;74.0;1.63;3.59
