ghi;dni;dhi;temp_air;ws10
0.0;0.0;0.0;8.02;2.25
0.0;0.0;0.0;8.24;2.47
0.0;0.0;0.0;8.46;2.69
0.0;0.0;0.0;8.68;2.92
0.0;0.0;0.0;8.9;3.14
0.0;0.0;0.0;9.12;3.36
0.0;0.0;0.0;9.34;3.59
31.0;81.62;25.0;9.56;3.81
163.0;378.14;81.0;11.44;4.76
48.0;0.0;48.0;12.03;4.28
90.0;0.0;90.0;12.47;3.59
100.0;0.0;100.0;12.15;4.76
39.0;0.0;39.0;12.25;5.52
28.0;0.0;28.0;12.23;5.45
28.0;0.0;28.0;11.83;4.97
39.0;78.26;32.0;11.2;3.52
0.0;0.0;0.0;10.64;2.97
0.0;0.0;0.0;9.99;3.03
0.0;0.0;0.0;9.94;3.03
0.0;0.0;0.0;9.6;1.93
0.0;0.0;0.0;8.82;1.79
0.0;0.0;0.0;8.5;1.45
0.0;0.0;0.0;8.88;1.1
0.0;0.0;0.0;7.8;1.38
0.0;0.0;0.0;7.02;1.93
0.0;0.0;0.0;6.84;2.28
0.0;0.0;0.0;6.74;2.21
0.0;0.0;0.0;8.04;1.17
0.0;0.0;0.0;8.52;0.14
0.0;0.0;0.0;6.88;1.31
0.0;0.0;0.0;6.34;1.24
47.0;353.84;21.0;6.76;0.83
193.0;649.42;52.0;7.46;0.83
183.0;88.35;154.0;8.57;1.24
401.0;816.53;75.0;9.56;2.41
427.0;811.13;82.0;10.66;4.69
400.0;783.29;83.0;11.11;5.17
330.0;776.34;67.0;11.23;4.69
198.0;573.22;65.0;11.28;4.34
53.0;239.82;31.0;10.71;3.79
0.0;0.0;0.0;9.57;3.31
0.0;0.0;0.0;8.66;2.83
0.0;0.0;0.0;7.93;2.55
0.0;0.0;0.0;7.26;2.07
0.0;0.0;0.0;6.35;2.07
0.0;0.0;0.0;5.5;2.0
0.0;0.0;0.0;4.45;1.93
0.0;0.0;0.0;3.7;1.93
0.0;0.0;0.0;2.93;1.86
0.0;0.0;0.0;2.18;1.79
0.0;0.0;0.0;1.64;1.72
0.0;0.0;0.0;1.03;1.66
0.0;0.0;0.0;0.72;1.72
0.0;0.0;0.0;0.57;1.79
0.0;0.0;0.0;0.76;1.93
39.0;190.33;25.0;0.83;2.07
190.0;620.7;55.0;2.67;1.72
298.0;614.06;96.0;7.07;1.45
374.0;644.45;116.0;10.27;1.59
146.0;2.34;145.0;11.7;2.9
172.0;17.22;165.0;11.68;3.31
249.0;281.67;153.0;11.95;2.9
108.0;46.95;97.0;11.48;3.31
43.0;95.63;34.0;11.13;3.1
0.0;0.0;0.0;10.71;2.9
0.0;0.0;0.0;10.79;2.0
0.0;0.0;0.0;10.09;1.03
0.0;0.0;0.0;8.97;1.31
0.0;0.0;0.0;10.7;0.62
0.0;0.0;0.0;9.24;2.97
0.0;0.0;0.0;9.66;3.03
0.0;0.0;0.0;9.28;2.0
0.0;0.0;0.0;9.84;1.31
0.0;0.0;0.0;9.27;0.97
0.0;0.0;0.0;8.23;1.03
0.0;0.0;0.0;5.82;1.38
0.0;0.0;0.0;4.27;1.66
0.0;0.0;0.0;3.96;1.79
0.0;0.0;0.0;4.1;1.86
47.0;352.57;21.0;3.33;1.93
182.0;555.06;61.0;4.89;1.31
304.0;670.09;83.0;8.47;0.76
379.0;692.31;101.0;11.22;0.76
355.0;427.22;172.0;13.01;0.9
243.0;115.09;196.0;13.85;1.1
245.0;268.23;153.0;14.03;1.59
91.0;16.9;87.0;13.66;1.59
49.0;144.95;35.0;13.18;1.66
0.0;0.0;0.0;12.32;1.86
0.0;0.0;0.0;11.66;1.93
0.0;0.0;0.0;11.24;1.86
0.0;0.0;0.0;11.01;1.86
0.0;0.0;0.0;10.86;2.0
0.0;0.0;0.0;10.43;2.0
0.0;0.0;0.0;10.0;1.79
0.0;0.0;0.0;9.55;2.0
0.0;0.0;0.0;9.05;2.07
0.0;0.0;0.0;8.53;1.86
0.0;0.0;0.0;8.01;1.93
0.0;0.0;0.0;7.27;1.86
0.0;0.0;0.0;6.76;1.79
0.0;0.0;0.0;6.35;1.79
0.0;0.0;0.0;6.07;1.79
37.0;148.57;26.0;6.07;1.66
142.0;219.57;94.0;7.05;1.17
310.0;710.47;75.0;10.92;1.03
389.0;749.6;87.0;13.4;1.03
381.0;546.46;146.0;14.33;1.93
420.0;874.79;61.0;14.75;2.28
275.0;402.6;136.0;14.93;2.41
176.0;351.32;92.0;14.8;2.48
48.0;121.05;36.0;14.17;2.21
0.0;0.0;0.0;13.05;2.34
0.0;0.0;0.0;12.05;2.41
0.0;0.0;0.0;11.61;2.41
0.0;0.0;0.0;11.38;2.21
0.0;0.0;0.0;11.16;2.28
0.0;0.0;0.0;10.82;2.28
0.0;0.0;0.0;10.57;2.21
0.0;0.0;0.0;9.96;2.21
0.0;0.0;0.0;9.27;2.21
0.0;0.0;0.0;8.83;2.28
0.0;0.0;0.0;8.52;2.28
0.0;0.0;0.0;8.44;2.21
0.0;0.0;0.0;8.13;2.28
0.0;0.0;0.0;7.93;2.41
0.0;0.0;0.0;8.12;2.41
39.0;188.05;25.0;8.57;2.55
183.0;542.56;64.0;9.7;2.28
315.0;732.26;72.0;11.48;2.28
342.0;464.97;154.0;13.12;3.24
423.0;759.54;95.0;14.2;4.9
