topology;archetype;archetype_name;d_LL_target;d_SL_target;d_SS_target;proj_residual_km;d_LL;d_SS;S1_L1;S1_L2;S2_L1;S2_L2;S1_near;S1_far;S1_centrality;S2_near;S2_far;S2_centrality;d_SL_mean;rho_comp;Large_cluster1_x;Large_cluster1_y;Large_cluster1_lon;Large_cluster1_lat;Large_cluster2_x;Large_cluster2_y;Large_cluster2_lon;Large_cluster2_lat;Small_cluster1_x;Small_cluster1_y;Small_cluster1_lon;Small_cluster1_lat;Small_cluster2_x;Small_cluster2_y;Small_cluster2_lon;Small_cluster2_lat
0001;A;both small near Large_cluster1 (the larger hub);583.5218446329236;270.2013246715069;426.62520818412304;0.02896817052589995;583.5218446329236;426.62520818412304;270.2013246715069;468.9897293647175;270.2013246715069;468.9897293647175;270.2013246715069;468.9897293647175;0.5761348442267921;270.2013246715069;468.9897293647175;0.5761348442267921;270.2013246715069;0.7894580248686532;0.0;0.0;4.4777;51.9244;583.5218446329236;0.0;12.970774309187236;51.74748960040475;165.85080280089238;213.31260409206152;6.924092009097946;53.85483465748484;165.85080280089238;-213.31260409206152;6.870732091853608;50.01800866654862
0002;A;both small near Large_cluster1 (the larger hub);826.9123082049191;392.2791615128517;769.2922466434538;0.06227834239405183;826.9123082049191;769.2922466434538;392.2791615128517;842.7979867565751;392.2791615128517;842.7979867565751;392.2791615128517;842.7979867565751;0.4654486219437938;392.2791615128517;842.7979867565751;0.4654486219437938;392.2791615128517;0.9805418208765221;0.0;0.0;4.4777;51.9244;826.9123082049191;0.0;16.45636730786406;51.42356994117415;77.00844350324748;384.6461233217269;5.5966899850176;55.38896495034949;77.00844350324748;-384.6461233217269;5.593276678904503;48.4699937988769
0003;A;both small near Large_cluster1 (the larger hub);416.8920892290771;213.737503439188;314.58613742142916;0.012276179991658864;416.8920892290771;314.58613742142916;213.737503439188;314.35829783076844;213.737503439188;314.35829783076844;213.737503439188;314.35829783076844;0.6799168493851923;213.737503439188;314.35829783076844;0.6799168493851923;213.737503439188;0.7359170299070474;0.0;0.0;4.4777;51.9244;416.8920892290771;0.0;10.547248462904527;51.79925006669996;144.71562082920877;157.29306871071458;6.636774454916507;53.330679148301726;144.71562082920877;-157.29306871071458;6.541896078385034;50.50205075180309
0004;A;both small near Large_cluster1 (the larger hub);1012.9770802333951;423.3332749456167;825.0728139653802;0.09813627534492753;1012.9770802333951;825.0728139653802;423.3332749456167;1006.4146188590103;423.3332749456167;1006.4146188590103;423.3332749456167;1006.4146188590103;0.4206350613483308;423.3332749456167;1006.4146188590103;0.4206350613483308;423.3332749456167;0.9744955839714853;0.0;0.0;4.4777;51.9244;1012.9770802333951;0.0;18.92055613349006;50.635134975540474;94.99881362413643;412.5364069826901;6.254603237775825;55.583186899869524;94.99881362413643;-412.5364069826901;5.51155014177691;48.17631970320466
0005;A;both small near Large_cluster1 (the larger hub);1431.8309294059873;475.39120502769947;192.11675627157092;0.02650200849780049;1431.8309294059873;192.11675627157092;475.39120502769947;971.0087570947198;475.39120502769947;971.0087570947198;475.39120502769947;971.0087570947198;0.4895848791828415;475.39120502769947;971.0087570947198;0.4895848791828415;475.39120502769947;0.20206174855546277;0.0;0.0;4.4777;51.9244;1431.8309294059873;0.0;24.88335335414078;50.273050204617185;465.5852078917571;96.05837813578546;11.369722086812708;52.64215312724411;465.5852078917571;-96.05837813578546;11.144482591897171;50.9199953477123
0006;A;both small near Large_cluster1 (the larger hub);919.2925544455647;355.5473271757364;683.8507902808487;0.07163393531266138;919.2925544455647;683.8507902808487;355.5473271757364;890.1128351701745;355.5473271757364;890.1128351701745;355.5473271757364;890.1128351701745;0.39944073731704116;355.5473271757364;890.1128351701745;0.39944073731704116;355.5473271757364;0.9616874295089859;0.0;0.0;4.4777;51.9244;919.2925544455647;0.0;17.734451421493485;51.16504224780052;97.47269371405935;341.92539514042437;6.002154178808383;54.989959224386475;97.47269371405935;-341.92539514042437;5.800131442358554;48.840552420455154
0007;A;both small near Large_cluster1 (the larger hub);1268.0990872904658;257.25744999945164;502.934203017503;0.042831137417067566;1268.0990872904658;502.934203017503;257.25744999945164;1239.599321732861;257.25744999945164;1239.599321732861;257.25744999945164;1239.599321732861;0.20753274504847763;257.25744999945164;1239.599321732861;0.20753274504847763;257.25744999945164;0.9774920085279845;0.0;0.0;4.4777;51.9244;1268.0990872904658;0.0;22.613206864751383;50.56165303135392;54.27423365656688;251.4671015087515;5.286111003116966;54.18603077522678;54.27423365656688;-251.4671015087515;5.245950403820754;49.662717231511834
0008;A;both small near Large_cluster1 (the larger hub);631.8764200434089;497.00276628136635;131.12342050299048;0.005561927153735269;631.8764200434089;131.12342050299048;497.00276628136635;1126.4454888211685;497.00276628136635;1126.4454888211685;497.00276628136635;1126.4454888211685;0.4412133309721738;497.00276628136635;1126.4454888211685;0.4412133309721738;497.00276628136635;0.13191417573394154;0.0;0.0;4.4777;51.9244;631.8764200434089;0.0;13.647948411591786;51.58794194106536;-492.6595293305808;65.56171025149524;-2.779100761896107;52.27601476720285;-492.6595293305808;-65.56171025149524;-2.585240581289527;51.102934031252126
0009;A;both small near Large_cluster1 (the larger hub);1377.3919087834656;167.27473065257072;308.75472417101264;0.027173260593201576;1377.3919087834656;308.75472417101264;167.27473065257072;1322.0278299540023;167.27473065257072;1322.0278299540023;167.27473065257072;1322.0278299540023;0.12652890269215494;167.27473065257072;1322.0278299540023;0.12652890269215494;167.27473065257072;0.9228970896156921;0.0;0.0;4.4777;51.9244;1377.3919087834656;0.0;24.054696138803394;50.19252042129389;64.4085832044966;154.37736208550632;5.457156998878859;53.305974740133884;64.4085832044966;-154.37736208550632;5.376213320939099;50.52948863755331
0010;A;both small near Large_cluster1 (the larger hub);1067.6616452634335;300.60124173760414;586.7488283663988;0.05067448305965172;1067.6616452634335;586.7488283663988;300.60124173760414;1044.2036091421178;300.60124173760414;1044.2036091421178;300.60124173760414;1044.2036091421178;0.28787608001524523;300.60124173760414;1044.2036091421178;0.28787608001524523;300.60124173760414;0.9759587568147404;0.0;0.0;4.4777;51.9244;1067.6616452634335;0.0;19.83798568591349;50.97255235709931;65.5176284434509;293.3744141831994;5.458125399909448;54.56296516153542;65.5176284434509;-293.3744141831994;5.402247741970232;49.28586249134757
