topology;archetype;label;archetype_name;d_LL_target;d_SL_target;d_SS_target;proj_residual_km;d_LL;d_SS;S1_L1;S1_L2;S2_L1;S2_L2;S1_near;S1_far;S1_centrality;S2_near;S2_far;S2_centrality;d_SL_mean;rho_comp;Large_cluster1_x;Large_cluster1_y;Large_cluster1_lon;Large_cluster1_lat;Large_cluster2_x;Large_cluster2_y;Large_cluster2_lon;Large_cluster2_lat;Small_cluster1_x;Small_cluster1_y;Small_cluster1_lon;Small_cluster1_lat;Small_cluster2_x;Small_cluster2_y;Small_cluster2_lon;Small_cluster2_lat
0001;A;A;both small near Large_cluster1 (the larger hub);1400.4627688787878;309.75382402539253;237.68052542582154;0.03766667703348503;1400.4627688787878;237.68052542582154;309.75382402539253;1120.7316918028191;309.75382402539253;1120.7316918028191;309.75382402539253;1120.7316918028191;0.2763853527931558;309.75382402539253;1120.7316918028191;0.2763853527931558;309.75382402539253;0.3836603570168311;0.0;0.0;4.4777;51.9244;1400.4627688787878;0.0;24.46117986379078;50.356465110974995;286.0496870417449;118.84026271291077;8.725397062086566;52.952381855668555;286.0496870417449;-118.84026271291077;8.57266875016432;50.81685966447516
0002;A;A;both small near Large_cluster1 (the larger hub);1428.9617264643312;469.50948648154736;883.6025139316916;0.21427962219843266;1428.9617264643312;883.6025139316916;469.50948648154736;1344.7053110025818;469.50948648154736;1344.7053110025818;469.50948648154736;1344.7053110025818;0.34915418466778547;469.50948648154736;1344.7053110025818;0.34915418466778547;469.50948648154736;0.9409847291407379;0.0;0.0;4.4777;51.9244;1428.9617264643312;0.0;25.004139633663073;50.67228105902878;158.90502584740656;441.8012569658458;6.695462045792115;55.9385207973413;158.90502584740656;-441.8012569658458;6.857950795052129;47.99078999893851
0003;A;A;both small near Large_cluster1 (the larger hub);550.8226294070482;229.03250753879547;431.8557471036911;0.01968272116960179;550.8226294070482;431.8557471036911;229.03250753879547;521.2853652451071;229.03250753879547;521.2853652451071;229.03250753879547;521.2853652451071;0.43936109242411775;229.03250753879547;521.2853652451071;0.43936109242411775;229.03250753879547;0.9427826463248666;0.0;0.0;4.4777;51.9244;550.8226294070482;0.0;12.493203798652482;51.74504191290355;76.36126591987983;215.92787355184555;5.578441652795905;53.87408000506788;76.36126591987983;-215.92787355184555;5.601205145886768;49.99015625828616
0004;A;A;both small near Large_cluster1 (the larger hub);1479.124301765114;417.02634766697884;580.5635781027377;0.1787723566249042;1479.124301765114;580.5635781027377;417.02634766697884;1214.9012220390794;417.02634766697884;1214.9012220390794;417.02634766697884;1214.9012220390794;0.34325946842579147;417.02634766697884;1214.9012220390794;0.34325946842579147;417.02634766697884;0.6960754174774029;0.0;0.0;4.4777;51.9244;1479.124301765114;0.0;25.64812843375967;50.44733587968568;299.41185279410115;290.28178905136883;8.955872672166965;54.54808042258781;299.41185279410115;-290.28178905136883;8.743357627559151;49.327608420382155
0005;A;A;both small near Large_cluster1 (the larger hub);687.2777530923486;364.4574701786041;695.0324016623199;0.05980047226762508;687.2777530923486;695.0324016623199;364.4574701786041;673.9570483056617;364.4574701786041;673.9570483056617;364.4574701786041;673.9570483056617;0.5407725478869251;364.4574701786041;673.9570483056617;0.5407725478869251;364.4574701786041;0.953516471101163;0.0;0.0;4.4777;51.9244;687.2777530923486;0.0;14.455470334648108;51.58391358473122;109.8259428771956;347.51620083115995;6.122243936348164;55.05233943212734;109.8259428771956;-347.51620083115995;6.036151373247929;48.8014492102611
0006;A;A;both small near Large_cluster1 (the larger hub);1310.8795332722366;296.6674916446209;521.0876543074846;0.08029816421378655;1310.8795332722366;521.0876543074846;296.6674916446209;1197.6872263019866;296.6674916446209;1197.6872263019866;296.6674916446209;1197.6872263019866;0.24770030532981466;296.6674916446209;1197.6872263019866;0.24770030532981466;296.6674916446209;0.8782351774014011;0.0;0.0;4.4777;51.9244;1310.8795332722366;0.0;23.236853279717263;50.5588227095525;141.87499684860637;260.5438271537423;6.6039361276819335;54.266569638705185;141.87499684860637;-260.5438271537423;6.489529886605738;49.58013474677038
0007;A;A;both small near Large_cluster1 (the larger hub);1045.8508430980146;131.40955939888954;130.55755151435733;0.008074526511336444;1045.8508430980146;130.55755151435733;131.40955939888954;934.0857359973028;131.40955939888954;934.0857359973028;131.40955939888954;934.0857359973028;0.14068254586779066;131.40955939888954;934.0857359973028;0.14068254586779066;131.40955939888954;0.4967581967079504;0.0;0.0;4.4777;51.9244;1045.8508430980146;0.0;19.526449187503825;50.99316376360935;114.0489094075619;65.27877575717866;6.158325720134013;52.504303155902306;114.0489094075619;-65.27877575717866;6.123444030255529;51.33034467341148
0008;A;A;both small near Large_cluster1 (the larger hub);1067.4264550209045;179.15244586765766;344.5778517983854;0.020734718605069702;1067.4264550209045;344.5778517983854;179.15244586765766;1032.785058285755;179.15244586765766;1032.785058285755;179.15244586765766;1032.785058285755;0.17346537348731575;179.15244586765766;1032.785058285755;0.17346537348731575;179.15244586765766;0.9616889407497392;0.0;0.0;4.4777;51.9244;1067.4264550209045;0.0;19.814163867912782;50.91169851815489;49.113387918840395;172.2889258991927;5.217888659986366;53.471686469478755;49.113387918840395;-172.2889258991927;5.168511524208758;50.37278633412047
0009;A;A;both small near Large_cluster1 (the larger hub);905.9874237515032;209.74658392369747;349.25561929121614;0.02913265818870059;905.9874237515032;349.25561929121614;209.74658392369747;808.8782833772343;209.74658392369747;808.8782833772343;209.74658392369747;808.8782833772343;0.2593054953187296;209.74658392369747;808.8782833772343;0.2593054953187296;209.74658392369747;0.8325656913160261;0.0;0.0;4.4777;51.9244;905.9874237515032;0.0;17.590989024842948;51.34843277830751;116.1841536787093;174.62780964560807;6.181235922174615;53.50321935867086;116.1841536787093;-174.62780964560807;6.162179261139683;50.36208421380677
0010;A;A;both small near Large_cluster1 (the larger hub);1268.805674277246;435.05764827132225;766.1928979679942;0.1691573276143572;1268.805674277246;766.1928979679942;435.05764827132225;1129.5687297115946;435.05764827132225;1129.5687297115946;435.05764827132225;1129.5687297115946;0.3851537642887854;435.05764827132225;1129.5687297115946;0.3851537642887854;435.05764827132225;0.8805647952776141;0.0;0.0;4.4777;51.9244;1268.805674277246;0.0;22.754226057697135;50.91353367482008;206.18503363538596;383.0964489839971;7.503330995716063;55.40142261008332;206.18503363538596;-383.0964489839971;7.459695507395154;48.50941515639182
