topology;economy;slot;archetype;small_cluster;d_nearest_large;d_other_large;centrality;d_small_small;d_large_large;rho_comp
0001;1;A_near;A;Small_cluster1;131.18697479367256;773.4075531478699;0.1696220501852153;147.96116529032588;878.1980568543077;0.5639323779019805
0001;1;A_near;A;Small_cluster2;131.18697479367256;773.4075531478699;0.1696220501852153;147.96116529032588;878.1980568543077;0.5639323779019805
0002;1;A_far;A;Small_cluster1;376.7552357167005;1108.4525777251165;0.3398929672660579;335.8156407251954;1432.9321015626192;0.44566818041211054
0002;1;A_far;A;Small_cluster2;376.7552357167005;1108.4525777251165;0.3398929672660579;335.8156407251954;1432.9321015626192;0.44566818041211054
0003;1;B_near;B;Small_cluster1;131.18697479367262;773.4075531478699;0.1696220501852154;147.96116529032588;878.1980568543077;0.5639323779019803
0003;1;B_near;B;Small_cluster2;131.18697479367262;773.4075531478699;0.1696220501852154;147.96116529032588;878.1980568543077;0.5639323779019803
0004;1;B_far;B;Small_cluster1;376.7552357167005;1108.4525777251165;0.3398929672660579;335.8156407251954;1432.9321015626192;0.44566818041211054
0004;1;B_far;B;Small_cluster2;376.7552357167005;1108.4525777251165;0.3398929672660579;335.8156407251954;1432.9321015626192;0.44566818041211054
0005;1;D_near;D;Small_cluster1;240.26151932775974;829.5542020945735;0.2896272705522004;614.9070190265775;1025.251878798008;1.2796618883187327
0005;1;D_near;D;Small_cluster2;240.26151932775974;829.5542020945735;0.2896272705522004;614.9070190265775;1025.251878798008;1.2796618883187327
0006;1;D_far;D;Small_cluster1;420.0649008154869;1012.6675021732062;0.41481029055837043;670.8931877277792;1265.5381878837943;0.7985589684181544
0006;1;D_far;D;Small_cluster2;420.0649008154869;1012.6675021732062;0.41481029055837043;670.8931877277792;1265.5381878837943;0.7985589684181544
0007;1;C_near;C;Small_cluster1;396.35179974138737;415.98094355044475;0.9528123965450908;312.6166148111224;749.7254831716418;0.3943675984505423
0007;1;C_near;C;Small_cluster2;396.35179974138737;415.98094355044475;0.9528123965450908;312.6166148111224;749.7254831716418;0.3943675984505423
0008;1;C_far;C;Small_cluster1;483.36955420672894;520.7072511530273;0.9282942634971576;906.7085585556924;423.8148960284889;0.9379040846332541
0008;1;C_far;C;Small_cluster2;483.36955420672894;520.7072511530273;0.9282942634971576;906.7085585556924;423.8148960284889;0.9379040846332541
0009;2;A_near;A;Small_cluster1;287.0258752256632;410.55046747207086;0.6991244632919317;531.1171387322247;422.01306130737066;0.9252077679663098
0009;2;A_near;A;Small_cluster2;287.0258752256632;410.55046747207086;0.6991244632919317;531.1171387322247;422.01306130737066;0.9252077679663098
0010;2;A_far;A;Small_cluster1;445.2918488532305;1135.2769667874318;0.3922319062927016;660.1597365923226;1385.1172919385135;0.7412663608063408
0010;2;A_far;A;Small_cluster2;445.2918488532305;1135.2769667874318;0.3922319062927016;660.1597365923226;1385.1172919385135;0.7412663608063408
0011;2;B_near;B;Small_cluster1;287.0258752256632;410.55046747207086;0.6991244632919317;531.1171387322247;422.01306130737066;0.9252077679663098
0011;2;B_near;B;Small_cluster2;287.0258752256632;410.55046747207086;0.6991244632919317;531.1171387322247;422.01306130737066;0.9252077679663098
0012;2;B_far;B;Small_cluster1;445.2918488532304;1135.2769667874318;0.39223190629270155;660.1597365923226;1385.1172919385135;0.7412663608063409
0012;2;B_far;B;Small_cluster2;445.2918488532304;1135.2769667874318;0.39223190629270155;660.1597365923226;1385.1172919385135;0.7412663608063409
0013;2;D_near;D;Small_cluster1;192.75158382952213;830.3314231455647;0.23213812997624084;681.9165982306004;956.56433776021;1.7689001166229508
0013;2;D_near;D;Small_cluster2;192.75158382952213;830.3314231455647;0.23213812997624084;681.9165982306004;956.56433776021;1.7689001166229508
0014;2;D_far;D;Small_cluster1;390.3694089502096;743.3357092305814;0.525158961291227;689.1383504495025;580.6667136028409;0.8826746341404532
0014;2;D_far;D;Small_cluster2;390.3694089502096;743.3357092305814;0.525158961291227;689.1383504495025;580.6667136028409;0.8826746341404532
0015;2;C_near;C;Small_cluster1;370.9126625210046;402.7035118083057;0.9210564389057673;543.5247241519392;549.6099883690476;0.7326855875689599
0015;2;C_near;C;Small_cluster2;370.9126625210046;402.7035118083057;0.9210564389057673;543.5247241519392;549.6099883690476;0.7326855875689599
0016;2;C_far;C;Small_cluster1;468.4733845293522;496.28375887053056;0.9439627554919977;638.4638155810535;722.852705232799;0.6814301907700485
0016;2;C_far;C;Small_cluster2;468.4733845293522;496.28375887053056;0.9439627554919977;638.4638155810535;722.852705232799;0.6814301907700485
0017;3;A_near;A;Small_cluster1;232.31356106698513;451.7191825421582;0.5142875707858692;249.1454677656293;630.2923874929547;0.5362266985649428
0017;3;A_near;A;Small_cluster2;232.31356106698513;451.7191825421582;0.5142875707858692;249.1454677656293;630.2923874929547;0.5362266985649428
0018;3;A_far;A;Small_cluster1;415.44183529913425;945.6064064112295;0.43933906589721755;412.3430830426514;1283.5301318205893;0.4962705341720681
0018;3;A_far;A;Small_cluster2;415.44183529913425;945.6064064112295;0.43933906589721755;412.3430830426514;1283.5301318205893;0.4962705341720681
0019;3;B_near;B;Small_cluster1;232.31356106698516;451.7191825421582;0.5142875707858692;249.1454677656293;630.2923874929547;0.5362266985649426
0019;3;B_near;B;Small_cluster2;232.31356106698516;451.7191825421582;0.5142875707858692;249.1454677656293;630.2923874929547;0.5362266985649426
0020;3;B_far;B;Small_cluster1;415.4418352991343;945.6064064112295;0.4393390658972176;412.3430830426514;1283.5301318205893;0.49627053417206807
0020;3;B_far;B;Small_cluster2;415.4418352991343;945.6064064112295;0.4393390658972176;412.3430830426514;1283.5301318205893;0.49627053417206807
0021;3;D_near;D;Small_cluster1;280.5931940674782;651.1294171671739;0.4309330628744077;466.03976590558887;740.7886678352952;0.8304545080903027
0021;3;D_near;D;Small_cluster2;280.5931940674782;651.1294171671739;0.4309330628744077;466.03976590558887;740.7886678352952;0.8304545080903027
0022;3;D_far;D;Small_cluster1;447.80776388943195;823.377821596427;0.5438666820308428;569.3806566298008;838.4886949323118;0.6357422788792764
0022;3;D_far;D;Small_cluster2;447.80776388943195;823.377821596427;0.5438666820308428;569.3806566298008;838.4886949323118;0.6357422788792764
0023;3;C_near;C;Small_cluster1;419.60541419684887;429.37254841392735;0.9772525415209762;723.5096427612007;443.89618588611484;0.8621309667155316
0023;3;C_near;C;Small_cluster2;419.60541419684887;429.37254841392735;0.9772525415209762;723.5096427612007;443.89618588611484;0.8621309667155316
0024;3;C_far;C;Small_cluster1;497.3949182778597;541.7729016721674;0.9180874804602882;735.4529411531985;732.7944503165781;0.7393048402058185
0024;3;C_far;C;Small_cluster2;497.3949182778597;541.7729016721674;0.9180874804602882;735.4529411531985;732.7944503165781;0.7393048402058185
0025;4;A_near;A;Small_cluster1;230.42884171009064;801.963522754483;0.2873308263680657;391.27293564379215;899.4882116094232;0.8490103338193754
0025;4;A_near;A;Small_cluster2;230.42884171009064;801.963522754483;0.2873308263680657;391.27293564379215;899.4882116094232;0.8490103338193754
0026;4;A_far;A;Small_cluster1;414.27341289818287;976.2657628760074;0.4243449157509772;178.32593889907002;567.621092684567;0.21522735148694866
0026;4;A_far;A;Small_cluster2;414.27341289818287;976.2657628760074;0.4243449157509772;178.32593889907002;567.621092684567;0.21522735148694866
0027;4;B_near;B;Small_cluster1;230.4288417100906;801.963522754483;0.2873308263680656;391.27293564379215;899.4882116094232;0.8490103338193755
0027;4;B_near;B;Small_cluster2;230.4288417100906;801.963522754483;0.2873308263680656;391.27293564379215;899.4882116094232;0.8490103338193755
0028;4;B_far;B;Small_cluster1;414.2734128981829;976.2657628760074;0.42434491575097727;178.32593889907002;567.621092684567;0.21522735148694863
0028;4;B_far;B;Small_cluster2;414.2734128981829;976.2657628760074;0.42434491575097727;178.32593889907002;567.621092684567;0.21522735148694863
0029;4;D_near;D;Small_cluster1;336.12204380333424;1034.0842854726125;0.3250431792895052;761.9929475709796;1255.0671028904617;1.133506358209614
0029;4;D_near;D;Small_cluster2;336.12204380333424;1034.0842854726125;0.3250431792895052;761.9929475709796;1255.0671028904617;1.133506358209614
0030;4;D_far;D;Small_cluster1;490.6331028789282;1193.0506039279862;0.41124249152850123;860.6058103963733;1374.2051094770432;0.8770360227902743
0030;4;D_far;D;Small_cluster2;490.6331028789282;1193.0506039279862;0.41124249152850123;860.6058103963733;1374.2051094770432;0.8770360227902743
0031;4;C_near;C;Small_cluster1;215.84880128502846;223.30322883567896;0.9666174663504935;143.4030176140368;415.0704097934067;0.33218395645541027
0031;4;C_near;C;Small_cluster2;215.84880128502846;223.30322883567896;0.9666174663504935;143.4030176140368;415.0704097934067;0.33218395645541027
0032;4;C_far;C;Small_cluster1;423.1705464422703;442.1529754956219;0.9570681865658064;169.73590636625886;848.5046218149364;0.20055259964721406
0032;4;C_far;C;Small_cluster2;423.1705464422703;442.1529754956219;0.9570681865658064;169.73590636625886;848.5046218149364;0.20055259964721406
0033;5;A_near;A;Small_cluster1;334.6958518028259;824.3902989706911;0.40599198246354556;284.60415191948414;1114.9536930024624;0.4251683287774186
0033;5;A_near;A;Small_cluster2;334.6958518028259;824.3902989706911;0.40599198246354556;284.60415191948414;1114.9536930024624;0.4251683287774186
0034;5;A_far;A;Small_cluster1;475.5074456334114;1174.508484429433;0.40485654376895297;539.0998428687453;751.4320640824735;0.56686793006009
0034;5;A_far;A;Small_cluster2;475.5074456334114;1174.508484429433;0.40485654376895297;539.0998428687453;751.4320640824735;0.56686793006009
0035;5;B_near;B;Small_cluster1;334.695851802826;824.3902989706911;0.4059919824635457;284.60415191948414;1114.9536930024624;0.42516832877741856
0035;5;B_near;B;Small_cluster2;334.695851802826;824.3902989706911;0.4059919824635457;284.60415191948414;1114.9536930024624;0.42516832877741856
0036;5;B_far;B;Small_cluster1;475.50744563341146;1174.508484429433;0.404856543768953;539.0998428687453;751.4320640824735;0.5668679300600898
0036;5;B_far;B;Small_cluster2;475.50744563341146;1174.508484429433;0.404856543768953;539.0998428687453;751.4320640824735;0.5668679300600898
0037;5;D_near;D;Small_cluster1;279.2213838547468;550.8998611243808;0.5068459870090708;292.8549830801785;770.0947185978293;0.5244136015609105
0037;5;D_near;D;Small_cluster2;279.2213838547468;550.8998611243808;0.5068459870090708;292.8549830801785;770.0947185978293;0.5244136015609105
0038;5;D_far;D;Small_cluster1;446.53730019927025;616.0569144869005;0.7248312448066276;315.3993153013289;571.119062975049;0.35316121985843046
0038;5;D_far;D;Small_cluster2;446.53730019927025;616.0569144869005;0.7248312448066276;315.3993153013289;571.119062975049;0.35316121985843046
0039;5;C_near;C;Small_cluster1;315.04226848483086;333.2613869715165;0.9453308447994822;445.1367578469217;471.0137859918177;0.7064714839500256
