topology;economy;slot;archetype;label;archetype_name;d_LL_target;d_SL_target;d_SS_target;proj_residual_km;d_LL;d_SS;S1_L1;S1_L2;S2_L1;S2_L2;S1_near;S1_far;S1_centrality;S2_near;S2_far;S2_centrality;d_SL_mean;rho_comp;Large_cluster1_x;Large_cluster1_y;Large_cluster1_lon;Large_cluster1_lat;Large_cluster2_x;Large_cluster2_y;Large_cluster2_lon;Large_cluster2_lat;Small_cluster1_x;Small_cluster1_y;Small_cluster1_lon;Small_cluster1_lat;Small_cluster2_x;Small_cluster2_y;Small_cluster2_lon;Small_cluster2_lat
0001;1;A_near;A;A;both small near Large_cluster1 (the larger hub);878.1980568543077;131.18697479367256;147.96116529032588;0.008267363472327816;878.1980568543077;147.96116529032588;131.18697479367256;773.4075531478699;131.18697479367256;773.4075531478699;131.18697479367256;773.4075531478699;0.1696220501852153;131.18697479367256;773.4075531478699;0.1696220501852153;131.18697479367256;0.5639323779019805;0.0;0.0;4.4777;51.9244;878.1980568543077;0.0;17.166664985014435;51.27777678590343;108.33695466920739;73.98058264516294;6.075258390036035;52.58433026341224;108.33695466920739;-73.98058264516294;6.040063017626492;51.253831619184815
0002;1;A_far;A;A;both small near Large_cluster1 (the larger hub);1432.9321015626192;376.75523571670055;335.8156407251954;0.07414109614501285;1432.9321015626192;335.8156407251954;376.7552357167005;1108.4525777251165;376.7552357167005;1108.4525777251165;376.7552357167005;1108.4525777251165;0.3398929672660579;376.7552357167005;1108.4525777251165;0.3398929672660579;376.7552357167005;0.44566818041211054;0.0;0.0;4.4777;51.9244;1432.9321015626192;0.0;24.899618050424955;50.27190215086376;337.2706205720092;167.9078203625977;9.531303598986149;53.36762887597929;337.2706205720092;-167.9078203625977;9.262008756364557;50.35192611798357
0003;1;B_near;B;B;both small near Large_cluster2 (the smaller hub);878.1980568543077;131.18697479367256;147.96116529032588;0.008267363099093927;878.1980568543077;147.96116529032588;773.4075531478699;131.18697479367262;773.4075531478699;131.18697479367262;131.18697479367262;773.4075531478699;0.1696220501852154;131.18697479367262;773.4075531478699;0.1696220501852154;131.18697479367262;0.5639323779019803;0.0;0.0;4.4777;51.9244;878.1980568543077;0.0;17.184806573311295;51.346214586279245;769.8611021851002;73.98058264516294;15.790050639629111;52.15009997458858;769.8611021851002;-73.98058264516294;15.494105261341788;50.832240950470684
0004;1;B_far;B;B;both small near Large_cluster2 (the smaller hub);1432.9321015626192;376.75523571670055;335.8156407251954;0.0741410939428988;1432.9321015626192;335.8156407251954;1108.4525777251165;376.7552357167005;1108.4525777251165;376.7552357167005;376.7552357167005;1108.4525777251165;0.3398929672660579;376.7552357167005;1108.4525777251165;0.3398929672660579;376.7552357167005;0.44566818041211054;0.0;0.0;4.4777;51.9244;1432.9321015626192;0.0;25.027564254057516;50.58509398774133;1095.66148099061;167.9078203625977;20.768876813171623;52.70662821493894;1095.66148099061;-167.9078203625977;19.90733747429808;49.73487973977318
0005;1;D_near;D;D;one small cluster per hub;1025.251878798008;240.26151932775974;614.9070190265775;0.014230818299438397;1025.251878798008;614.9070190265775;240.26151932775974;829.5542020945735;829.5542020945735;240.26151932775974;240.26151932775974;829.5542020945735;0.2896272705522004;240.26151932775974;829.5542020945735;0.2896272705522004;240.26151932775974;1.2796618883187327;0.0;0.0;4.4777;51.9244;1025.251878798008;0.0;19.266022854140967;51.12140669891521;205.17242988571525;125.01948521920386;7.518080889336591;53.03847394723398;820.0794489122927;125.01948521920386;16.63186405360856;52.542622430532305
0006;1;D_far;D;D;one small cluster per hub;1265.5381878837943;420.0649008154869;670.8931877277792;0.08743940874148848;1265.5381878837943;670.8931877277792;420.0649008154869;1012.6675021732062;1012.6675021732062;420.0649008154869;420.0649008154869;1012.6675021732062;0.41481029055837043;420.0649008154869;1012.6675021732062;0.41481029055837043;420.0649008154869;0.7985589684181544;0.0;0.0;4.4777;51.9244;1265.5381878837943;0.0;22.742199698593524;51.02864036059493;297.3225000780076;296.7386928671218;8.867777525611038;54.64305745103792;968.2156878057867;296.7386928671218;19.200855274046706;54.13457083244995
0007;1;C_near;C;C1;both small midway between the hubs;749.7254831716418;396.35179974138737;312.6166148111224;0.03204194772865776;749.7254831716418;312.6166148111224;396.35179974138737;415.98094355044475;396.35179974138737;415.98094355044475;396.35179974138737;415.98094355044475;0.9528123965450908;396.35179974138737;415.98094355044475;0.9528123965450908;396.35179974138737;0.3943675984505423;0.0;0.0;4.4777;51.9244;749.7254831716418;0.0;15.360737948255185;51.55680780496913;364.2285850866807;156.3083074055612;9.910338764641258;53.27526047711811;364.2285850866807;-156.3083074055612;9.67062614080853;50.467605337092024
0008;1;C_far;C;C2;both small midway between the hubs;423.8148960284889;483.36955420672894;906.7085585556924;0.06548480780043064;423.8148960284889;906.7085585556924;520.7072511530273;483.36955420672894;520.7072511530273;483.36955420672894;483.36955420672894;520.7072511530273;0.9282942634971576;483.36955420672894;520.7072511530273;0.9282942634971576;483.36955420672894;0.9379040846332541;0.0;0.0;4.4777;51.9244;423.8148960284889;0.0;10.642943467562763;51.75708147435857;256.1365629187025;453.3542792778462;8.594630910668696;55.93291120432694;256.1365629187025;-453.3542792778462;7.890670033776704;47.78957808735357
0009;2;A_near;A;A;both small near Large_cluster1 (the larger hub);422.01306130737066;287.0258752256632;531.1171387322247;0.025005092029687148;422.01306130737066;531.1171387322247;287.0258752256632;410.55046747207086;287.0258752256632;410.55046747207086;287.0258752256632;410.55046747207086;0.6991244632919317;287.0258752256632;410.55046747207086;0.6991244632919317;287.0258752256632;0.9252077679663098;0.0;0.0;4.4777;51.9244;422.01306130737066;0.0;10.622905812246856;51.80702639932389;108.91510127287981;265.55856936611235;6.108273037806569;54.312989350599466;108.91510127287981;-265.55856936611235;6.026610892934711;49.53657787180332
0010;2;A_far;A;A;both small near Large_cluster1 (the larger hub);1385.1172919385135;445.2918488532305;660.1597365923226;0.1970100214523427;1385.1172919385135;660.1597365923226;445.2918488532305;1135.2769667874318;445.2918488532305;1135.2769667874318;445.2918488532305;1135.2769667874318;0.3922319062927016;445.2918488532305;1135.2769667874318;0.3922319062927016;445.2918488532305;0.7412663608063408;0.0;0.0;4.4777;51.9244;1385.1172919385135;0.0;24.362726785773024;50.66594573870907;298.8847791385789;330.0798682961613;8.958060191095162;54.909160669072186;298.8847791385789;-330.0798682961613;8.727765714112637;48.972643902913276
